BHARATIYA GLOBAL INFOMEDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 33.60 , 46.34 , 70.96 , 64.45 , 54.73 , 45.01 , 36.52 , 31.08 , 40.21 , 31.41 , 23.86 , 29.87 , 26.19 
Expenses, 28.76 , 38.60 , 59.97 , 58.62 , 48.23 , 40.57 , 32.44 , 25.95 , 37.24 , 29.11 , 21.13 , 26.45 , 23.54 
Operating Profit, 4.84 , 7.74 , 10.99 , 5.83 , 6.50 , 4.44 , 4.08 , 5.13 , 2.97 , 2.30 , 2.73 , 3.42 , 2.65 
Other Income, -   , -   , 0.19 , 0.35 , 0.06 , 0.04 , 1.82 , 0.02 , 0.25 , (0.08), 0.08 , -   , -   
Depreciation, 2.03 , 2.80 , 3.43 , 4.27 , 5.43 , 3.29 , 5.78 , 3.46 , 1.79 , 1.62 , 1.23 , 1.23 , 1.23 
Interest, 0.84 , 0.91 , 0.75 , 0.32 , 0.16 , 0.13 , 0.41 , 0.43 , 0.42 , 0.47 , 0.37 , 0.37 , 0.37 
Profit before tax, 1.97 , 4.03 , 7.00 , 1.59 , 0.99 , 1.07 , (0.28), 1.26 , 1.01 , 0.15 , 1.21 , 1.82 , 1.05 
Tax, 1.90 , 1.16 , 2.22 , 0.42 , (0.03), 0.30 , (0.16), 0.62 , 0.13 , 0.08 , 0.26 ,21%,21%
Net profit, 0.07 , 2.87 , 4.78 , 1.17 , 1.02 , 0.77 , (0.12), 0.64 , 0.88 , 0.07 , 0.95 , 1.43 , 0.83 
EPS, 0.11 , 4.19 , 5.24 , 0.74 , 0.64 , 0.49 , (0.08), 0.40 , 0.56 , 0.04 , 0.60 , 0.90 , 0.52 
Price to earning,  ,  ,  , 10.17 , 8.71 , 14.95 , (40.33), 13.93 , 16.62 , 107.26 , 3.92 , 35.43 , 3.92 
Price, -   , -   , -   , 7.51 , 5.61 , 7.27 , 3.05 , 5.63 , 9.23 , 4.74 , 2.35 , 31.94 , 2.04 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,14.40%,16.70%,15.49%,9.05%,11.88%,9.86%,11.17%,16.51%,7.39%,7.32%,11.44%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-0.75%,-10.99%,-10.51%,-4.90%,-21.89%,-4.90%,-21.89%
,,,,,,OPM,12.07%,10.30%,10.27%,10.13%,11.44%,11.44%,10.13%
,,,,,,Price to Earning, 25.08 , 25.08 , 31.34 , 35.43 , 3.92 , 35.43 , 3.92 
