BHARTIYA INTERNATIONAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 26.41 , 18.05 , (17.56), 3.88 , (13.66), (39.50), (27.15), (22.99), 1.67 , -   
Cash from Investing Activity, (22.29), (7.65), (4.56), (6.12), (7.98), 6.10 , (4.59), (14.37), (23.78), -   
Cash from Financing Activity, 2.93 , (17.10), 22.82 , 1.88 , 24.20 , 41.65 , 30.35 , 34.23 , 40.38 , -   
Net Cash Flow, 7.05 , (6.70), 0.70 , (0.36), 2.56 , 8.25 , (1.39), (3.13), 18.27 , -   
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
