BIOFIL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.56 , 10.56 , 16.27 , 16.27 , 16.27 , 16.27 , 16.27 , 16.27 , 16.27 , 16.27 
Reserves, (9.36), (8.84), (9.57), (9.44), (8.91), (8.41), (7.86), (5.37), (3.58), (3.11)
Borrowings, 5.14 , 4.23 , 1.30 , 2.49 , 2.79 , 2.87 , 2.98 , 1.37 , 1.43 , 1.56 
Other Liabilities, 2.05 , 4.30 , 2.38 , 4.79 , 3.35 , 3.87 , 2.36 , 11.87 , 7.72 , 9.44 
Total, 8.39 , 10.25 , 10.38 , 14.11 , 13.50 , 14.60 , 13.75 , 24.14 , 21.84 , 24.16 
,,,,,,,,,,
Net Block, 7.15 , 7.66 , 8.49 , 9.10 , 9.17 , 9.17 , 9.06 , 8.98 , 9.16 , 9.25 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 1.24 , 2.59 , 1.89 , 5.01 , 4.33 , 5.43 , 4.69 , 15.16 , 12.68 , 14.91 
Total, 8.39 , 10.25 , 10.38 , 14.11 , 13.50 , 14.60 , 13.75 , 24.14 , 21.84 , 24.16 
,,,,,,,,,,
Working Capital, (0.81), (1.71), (0.49), 0.22 , 0.98 , 1.56 , 2.33 , 3.29 , 4.96 , 5.47 
Debtors, 0.41 , 0.21 , 1.50 , 4.11 , 3.34 , 4.10 , 3.65 , 13.98 , 11.46 , 12.98 
Inventory, 0.11 , -   , 0.06 , 0.22 , 0.32 , 0.27 , 0.17 , 0.10 , 0.17 , 1.02 
,,,,,,,,,,
Debtor Days, 110.85 , 43.55 , 254.65 , 239.26 , 202.85 , 208.72 , 227.35 , 387.45 , 311.00 , 383.31 
Inventory Turnover, 12.27 , -   , 35.83 , 28.50 , 18.78 , 26.56 , 34.47 , 131.70 , 79.12 , 12.12 
,,,,,,,,,,
Return on Equity,-22%,31%,15%,2%,7%,7%,7%,7%,14%,4%
Return on Capital Emp,,9%,14%,3%,9%,8%,9%,10%,19%,5%
,,,,,,,,,,
