BIOFIL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 1.35 , 1.76 , 2.15 , 6.27 , 6.01 , 7.17 , 5.86 , 13.17 , 13.45 , 12.36 , 24.20 , 24.20 , 16.11 
Expenses, 1.68 , 2.51 , 3.26 , 5.88 , 4.99 , 6.20 , 5.13 , 12.31 , 10.83 , 11.42 , 23.18 , 21.46 , 15.43 
Operating Profit, (0.33), (0.75), (1.11), 0.39 , 1.02 , 0.97 , 0.73 , 0.86 , 2.62 , 0.94 , 1.02 , 2.74 , 0.68 
Other Income, 0.19 , 1.40 , 2.26 , 0.04 , 0.06 , 0.06 , 0.46 , 0.53 , 0.14 , 0.10 , 0.11 , -   , -   
Depreciation, 0.11 , 0.11 , 0.15 , 0.19 , 0.21 , 0.22 , 0.25 , 0.26 , 0.28 , 0.30 , 0.29 , 0.29 , 0.29 
Interest, 0.01 , -   , 0.01 , 0.08 , 0.19 , 0.15 , 0.21 , 0.15 , 0.16 , 0.15 , 0.16 , 0.16 , 0.16 
Profit before tax, (0.26), 0.54 , 0.99 , 0.16 , 0.67 , 0.65 , 0.74 , 0.99 , 2.31 , 0.58 , 0.68 , 2.29 , 0.23 
Tax, -   , -   , -   , 0.01 , 0.13 , 0.13 , 0.15 , 0.20 , 0.52 , 0.12 , 0.12 ,18%,18%
Net profit, (0.26), 0.54 , 0.99 , 0.15 , 0.54 , 0.52 , 0.59 , 0.78 , 1.79 , 0.47 , 0.53 , 1.89 , 0.19 
EPS, (0.25), 0.51 , 0.61 , 0.09 , 0.33 , 0.32 , 0.36 , 0.48 , 1.10 , 0.29 , 0.33 , 1.16 , 0.12 
Price to earning, (7.07), 7.16 , 7.76 , 45.68 , 7.24 , 6.66 , 9.10 , 15.53 , 12.62 , 51.78 , 21.19 , 25.28 , 18.47 
Price, 1.74 , 3.66 , 4.72 , 4.21 , 2.40 , 2.13 , 3.30 , 7.44 , 13.88 , 14.96 , 6.90 , 29.34 , 2.14 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,6.22%,16.97%,13.53%,12.46%,6.53%,19.48%,7.61%,4.21%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,27.90%,28.38%,15.51%,28.24%,95.79%,95.79%,15.51%
,,,,,,OPM,10.83%,11.71%,11.77%,11.34%,4.21%,11.34%,4.21%
,,,,,,Price to Earning, 18.47 , 21.22 , 19.48 , 25.28 , 21.19 , 25.28 , 18.47 
