BLUE COAST HOTELS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 15.94 , 23.09 , 56.80 , 40.60 , 158.71 , 136.02 , 48.30 , 19.18 , 40.13 , 66.74 
Cash from Investing Activity, (55.05), (87.91), (113.10), (7.56), 2.76 , (3.93), (4.98), (4.00), (7.95), (44.37)
Cash from Financing Activity, 35.71 , 63.14 , 53.76 , (32.17), (162.82), (132.57), (41.05), (18.41), (23.53), (23.11)
Net Cash Flow, (3.40), (1.68), (2.54), 0.87 , (1.35), (0.48), 2.27 , (3.23), 8.65 , (0.74)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
