BLUE COAST HOTELS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 76.43 , 87.19 , 90.46 , 101.19 , 97.48 , 103.34 , 106.66 , 115.44 , 132.66 , 134.89 , 96.21 , 145.87 , 136.51 
Expenses, 56.39 , 59.27 , 61.17 , 69.15 , 66.65 , 74.67 , 81.20 , 86.58 , 109.26 , 106.96 , 75.10 , 113.87 , 107.93 
Operating Profit, 20.04 , 27.92 , 29.29 , 32.04 , 30.83 , 28.67 , 25.46 , 28.86 , 23.40 , 27.93 , 21.11 , 32.01 , 28.58 
Other Income, 0.08 , 1.23 , 1.51 , 3.29 , 11.33 , 0.87 , 0.90 , 0.61 , 1.13 , 1.43 , 2.27 , -   , -   
Depreciation, 9.02 , 8.85 , 8.79 , 9.11 , 9.18 , 9.40 , 5.19 , 6.05 , 6.63 , 6.74 , 4.85 , 4.85 , 4.85 
Interest, 7.92 , 13.61 , 26.89 , 42.66 , 47.22 , 45.73 , 40.95 , 18.39 , 28.69 , 24.27 , 25.48 , 25.48 , 25.48 
Profit before tax, 3.18 , 6.69 , (4.88), (16.44), (14.24), (25.60), (19.79), 5.04 , (10.79), (1.65), (6.95), 1.68 , (1.75)
Tax, 1.14 , (0.19), (1.91), (6.10), (6.76), (7.50), -   , -   , (0.61), -   , -   ,0%,0%
Net profit, 2.04 , 6.88 , (2.97), (10.35), (7.48), (18.10), (19.79), 5.04 , (10.18), (1.66), (6.94), 1.68 , (1.75)
EPS, 2.30 , 7.76 , (3.35), (11.68), (8.44), (20.42), (15.52), 3.95 , (7.99), (1.30), (5.44), 1.32 , (1.37)
Price to earning, 38.00 , 17.76 , (53.69), (12.80), (7.95), (3.60), (5.95), 22.40 , (16.18), (72.88), -   , 22.40 , -   
Price, 87.45 , 137.82 , 179.89 , 149.49 , 67.05 , 73.47 , 92.34 , 88.54 , 129.22 , 94.90 , 9.50 , 29.46 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,26.22%,32.02%,32.38%,31.66%,31.63%,27.74%,23.87%,25.00%,17.64%,20.71%,21.94%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.52%,5.87%,6.71%,8.14%,1.68%,8.14%,1.68%
,,,,,,OPM,26.24%,24.91%,22.65%,20.94%,21.94%,21.94%,20.94%
,,,,,,Price to Earning, 26.05 , 22.40 , 22.40 , 22.40 , -   , 22.40 , -   
