BOROSIL GLASS WORKS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 1.51 , (15.02), (157.92), (4.59), (1.47), 0.79 , 3.51 , 6.19 , 25.34 , 29.91 
Cash from Investing Activity, 1.22 , 0.33 , 217.24 , 86.08 , 15.96 , 6.23 , 1.53 , 157.08 , 6.47 , (17.07)
Cash from Financing Activity, (2.36), 14.64 , (58.32), (79.18), (14.13), (7.54), (4.82), (161.95), (33.55), (7.16)
Net Cash Flow, 0.37 , (0.05), 1.00 , 2.31 , 0.36 , (0.52), 0.22 , 1.32 , (1.74), 5.68 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
