C & C CONSTRUCTIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (124.21), 60.19 , (94.33), 115.49 , (34.10), 247.66 , 90.01 , 203.74 , 54.35 , 283.01 
Cash from Investing Activity, (128.27), (202.56), (95.56), (103.13), (18.29), 18.90 , 5.01 , (3.17), 15.85 , 3.93 
Cash from Financing Activity, 284.90 , 144.98 , 187.82 , 7.86 , 45.60 , (223.21), (133.28), (194.53), (88.83), (295.39)
Net Cash Flow, 32.42 , 2.61 , (2.07), 20.22 , (6.79), 43.35 , (38.26), 6.05 , (18.63), (8.45)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
