CONSOLIDATED CONSTRUCTION CONSORTIUM LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,755.86 "," 1,950.04 "," 2,067.11 "," 2,002.27 "," 1,715.31 ", 881.83 , 648.15 , 389.97 , 574.19 , 469.49 , 449.13 , 449.13 , 366.96 
Expenses," 1,635.84 "," 1,764.49 "," 1,917.41 "," 1,893.66 "," 1,697.98 "," 1,083.14 ", 684.50 , 431.58 , 580.77 , 474.49 , 460.98 , 449.13 , 366.96 
Operating Profit, 120.02 , 185.55 , 149.70 , 108.61 , 17.33 , (201.31), (36.35), (41.61), (6.58), (5.00), (11.85), -   , -   
Other Income, 9.07 , 6.34 , 5.75 , (0.05), 7.95 , 2.79 , 23.04 , 9.96 , 16.21 , 53.93 , 34.15 , -   , -   
Depreciation, 8.24 , 9.98 , 12.85 , 14.47 , 14.26 , 12.86 , 18.30 , 11.61 , 10.31 , 7.50 , 6.61 , 6.61 , 6.61 
Interest, 15.83 , 39.28 , 58.12 , 80.17 , 100.67 , 109.24 , 122.62 , 129.66 , 134.00 , 119.97 , 105.96 , 105.96 , 105.96 
Profit before tax, 105.02 , 142.63 , 84.48 , 13.94 , (89.65), (320.63), (154.23), (172.92), (134.69), (78.54), (90.27), (112.57), (112.57)
Tax, 35.96 , 49.07 , 33.75 , 10.18 , (31.73), (96.95), -   , -   , (0.01), (0.22), (0.21),0%,0%
Net profit, 69.06 , 93.56 , 50.73 , 3.77 , (57.92), (223.69), (154.23), (172.92), (134.68), (78.32), (90.05), (112.57), (112.57)
EPS, 3.74 , 5.06 , 2.75 , 0.20 , (3.13), (12.11), (8.35), (4.34), (3.38), (1.97), (2.26), (2.82), (2.82)
Price to earning, 7.04 , 17.57 , 18.63 , 76.75 , (3.85), (0.37), (0.57), (0.94), (1.40), (2.07), -   , -   , -   
Price, 26.30 , 88.97 , 51.14 , 15.66 , 12.08 , 4.48 , 4.72 , 4.09 , 4.72 , 4.06 , 1.50 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,13.38%,9.88%,18.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,6.84%,9.52%,7.24%,5.42%,1.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-13.63%,-19.08%,-22.83%,-10.19%,-4.34%,-4.34%,-22.83%
,,,,,,OPM,4.67%,1.88%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 30.00 , 76.75 ,  ,  , -   , -   , -   
