CARE RATINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 7.78 , 9.52 , 9.52 , 28.55 , 28.55 , 29.00 , 29.00 , 29.40 , 29.45 , 29.46 
Reserves, 124.67 , 203.98 , 293.24 , 348.56 , 395.34 , 455.32 , 331.42 , 378.85 , 494.51 , 561.21 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 25.82 , 31.40 , 30.05 , 52.25 , 83.18 , 96.29 , 87.65 , 94.66 , 64.93 , 70.27 
Total, 158.27 , 244.90 , 332.81 , 429.36 , 507.07 , 580.61 , 448.07 , 502.91 , 588.89 , 660.94 
,,,,,,,,,,
Net Block, 17.92 , 27.82 , 42.05 , 48.34 , 51.16 , 51.50 , 56.13 , 55.13 , 52.65 , 51.74 
Capital Work in Progress, -   , -   , -   , -   , 0.04 , -   , -   , -   , 0.07 , -   
Investments, 117.15 , 186.03 , 254.09 , 279.13 , 390.06 , 467.70 , 345.63 , 392.03 , 483.55 , 537.09 
Other Assets, 23.20 , 31.05 , 36.67 , 101.89 , 65.81 , 61.41 , 46.31 , 55.75 , 52.62 , 72.11 
Total, 158.27 , 244.90 , 332.81 , 429.36 , 507.07 , 580.61 , 448.07 , 502.91 , 588.89 , 660.94 
,,,,,,,,,,
Working Capital, (2.62), (0.35), 6.62 , 49.64 , (17.37), (34.88), (41.34), (38.91), (12.31), 1.84 
Debtors, 5.38 , 6.76 , 12.33 , 15.63 , 21.89 , 14.17 , 14.49 , 22.24 , 23.19 , 37.18 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 20.85 , 18.12 , 26.34 , 32.04 , 40.20 , 22.54 , 20.56 , 30.65 , 30.18 , 42.20 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,40%,40%,30%,29%,27%,27%,39%,29%,29%,27%
Return on Capital Emp,,71%,52%,44%,40%,40%,48%,46%,47%,42%
,,,,,,,,,,
