CCL PRODUCTS (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 261.33 , 281.19 , 352.81 , 489.73 , 584.83 , 611.10 , 671.98 , 677.19 , 707.39 , 823.33 , 809.13 , 958.27 , 880.01 
Expenses, 212.02 , 223.46 , 289.12 , 408.93 , 477.58 , 483.53 , 543.98 , 537.66 , 537.97 , 658.67 , 637.55 , 752.72 , 704.69 
Operating Profit, 49.31 , 57.73 , 63.69 , 80.80 , 107.25 , 127.57 , 128.00 , 139.53 , 169.42 , 164.66 , 171.58 , 205.56 , 175.32 
Other Income, 1.76 , 5.15 , 4.06 , 0.95 , 1.42 , 0.88 , 1.33 , 0.87 , 1.18 , 4.01 , 30.18 , -   , -   
Depreciation, 14.23 , 14.19 , 15.05 , 15.85 , 15.88 , 12.97 , 9.45 , 9.84 , 10.67 , 11.22 , 12.22 , 12.22 , 12.22 
Interest, 15.54 , 13.94 , 12.42 , 11.56 , 11.96 , 7.28 , 5.64 , 4.30 , 6.83 , 6.20 , 10.97 , 10.97 , 10.97 
Profit before tax, 23.82 , 34.93 , 40.28 , 54.34 , 80.83 , 108.20 , 114.24 , 126.26 , 153.12 , 151.26 , 178.57 , 182.37 , 152.13 
Tax, 4.82 , 7.93 , 12.76 , 17.81 , 26.25 , 34.95 , 39.57 , 44.32 , 54.14 , 53.49 , 53.15 ,30%,30%
Net profit, 19.00 , 27.00 , 27.52 , 36.53 , 54.59 , 73.26 , 74.66 , 81.94 , 98.98 , 97.76 , 125.43 , 128.09 , 106.85 
EPS, 2.86 , 4.06 , 4.14 , 5.49 , 8.21 , 5.51 , 5.61 , 6.16 , 7.44 , 7.35 , 9.43 , 9.63 , 8.03 
Price to earning, 2.91 , 5.50 , 5.94 , 3.05 , 3.34 , 10.02 , 34.74 , 31.81 , 46.31 , 39.66 , 28.49 , 36.57 , 19.25 
Price, 8.31 , 22.31 , 24.58 , 16.73 , 27.38 , 55.19 , 195.00 , 195.96 , 344.60 , 291.44 , 268.60 , 352.09 , 154.63 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,7.00%,7.41%,9.67%,18.20%,12.18%,21.80%,26.73%,40.59%,33.60%,34.02%,,,
OPM,18.87%,20.53%,18.05%,16.50%,18.34%,20.88%,19.05%,20.60%,23.95%,20.00%,21.21%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.60%,12.87%,7.08%,7.01%,16.39%,16.39%,7.01%
,,,,,,OPM,19.92%,20.09%,20.89%,21.45%,21.21%,21.45%,19.92%
,,,,,,Price to Earning, 19.25 , 24.68 , 31.84 , 36.57 , 28.49 , 36.57 , 19.25 
