CANTABIL RETAIL INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 0.11 , (8.36), (39.16), 19.14 , 11.36 , 5.85 , 9.53 , 19.93 , 9.55 , 6.98 
Cash from Investing Activity, (8.16), (5.00), (41.66), 12.53 , (2.64), (3.93), (7.83), (14.85), (9.66), (4.83)
Cash from Financing Activity, 8.05 , 13.10 , 82.21 , (31.03), (7.72), (4.79), (0.70), (5.89), (0.01), (0.54)
Net Cash Flow, -   , (0.26), 1.39 , 0.64 , 1.00 , (2.87), 1.00 , (0.81), (0.13), 1.61 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
