CANTABIL RETAIL INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 137.29 , 174.40 , 170.23 , 145.11 , 102.03 , 100.49 , 129.36 , 151.35 , 156.72 , 196.62 , 288.71 , 288.71 , 202.63 
Expenses, 121.40 , 144.24 , 142.74 , 161.87 , 128.73 , 103.49 , 115.03 , 135.15 , 138.70 , 176.36 , 259.70 , 257.54 , 188.42 
Operating Profit, 15.89 , 30.16 , 27.49 , (16.76), (26.70), (3.00), 14.33 , 16.20 , 18.02 , 20.26 , 29.01 , 31.17 , 14.20 
Other Income, 1.03 , 0.91 , 1.55 , 2.52 , 0.71 , 0.22 , (0.43), 0.05 , 0.46 , 2.87 , 3.84 , -   , -   
Depreciation, 1.61 , 2.34 , 2.53 , 2.65 , 1.69 , 1.56 , 6.36 , 6.12 , 7.99 , 8.84 , 8.88 , 8.88 , 8.88 
Interest, 5.75 , 6.40 , 9.43 , 8.94 , 5.58 , 4.75 , 4.95 , 4.97 , 5.86 , 6.66 , 7.76 , 7.76 , 7.76 
Profit before tax, 9.56 , 22.34 , 17.08 , (25.84), (33.28), (9.08), 2.58 , 5.17 , 4.63 , 7.63 , 16.21 , 14.53 , (2.44)
Tax, 3.35 , 7.66 , 4.70 , (0.37), (0.39), 0.02 , (0.32), 0.11 , 0.58 , (12.35), 3.69 ,23%,23%
Net profit, 6.21 , 14.68 , 12.38 , (25.47), (32.88), (9.10), 2.89 , 5.07 , 4.07 , 19.99 , 12.50 , 11.22 , (1.88)
EPS, 5.40 , 12.49 , 7.58 , (15.60), (20.14), (5.57), 1.77 , 3.11 , 2.49 , 12.24 , 7.65 , 6.87 , (1.15)
Price to earning,  ,  , 5.50 , (1.08), (0.92), (3.77), 31.89 , 23.76 , 32.69 , 11.04 , 27.00 , 27.00 , 21.98 
Price, -   , -   , 41.70 , 16.87 , 18.61 , 21.01 , 56.44 , 73.76 , 81.48 , 135.10 , 206.65 , 185.47 , (25.33)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,11.57%,17.29%,16.15%,0.00%,0.00%,0.00%,11.08%,10.70%,11.50%,10.30%,10.05%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.07%,2.08%,14.02%,14.98%,46.84%,46.84%,2.08%
,,,,,,OPM,9.73%,7.01%,9.37%,10.79%,10.05%,10.79%,7.01%
,,,,,,Price to Earning, 21.98 , 25.27 , 25.27 , 23.62 , 27.00 , 27.00 , 21.98 
