CAPLIN POINT LABORATORIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 59.12 , 58.05 , 83.02 , 107.62 , 122.67 , 166.40 , 240.23 , 231.29 , 341.55 , 426.57 , 536.90 , 536.90 , 539.82 
Expenses, 56.54 , 55.67 , 73.74 , 96.78 , 100.69 , 132.31 , 183.02 , 168.77 , 247.72 , 284.31 , 348.75 , 348.75 , 411.38 
Operating Profit, 2.58 , 2.38 , 9.28 , 10.84 , 21.98 , 34.09 , 57.21 , 62.52 , 93.83 , 142.26 , 188.15 , 188.15 , 128.44 
Other Income, 3.80 , 4.37 , 2.55 , 2.39 , 1.73 , 3.34 , 2.73 , 3.47 , 12.51 , 23.31 , 35.40 , -   , -   
Depreciation, 2.01 , 2.09 , 2.28 , 1.16 , 1.45 , 3.44 , 8.28 , 7.30 , 13.26 , 18.99 , 20.85 , 20.85 , 20.85 
Interest, 1.17 , 1.02 , 1.20 , 1.24 , 0.73 , 0.61 , 0.87 , 0.31 , 0.50 , 0.52 , 0.05 , 0.05 , 0.05 
Profit before tax, 3.20 , 3.64 , 8.35 , 10.83 , 21.52 , 33.38 , 50.80 , 58.38 , 92.58 , 146.05 , 202.65 , 167.25 , 107.54 
Tax, 0.98 , 0.31 , 1.81 , 2.65 , 7.21 , 7.74 , 9.86 , 13.05 , 22.26 , 43.74 , 54.49 ,27%,27%
Net profit, 2.22 , 3.33 , 6.54 , 8.19 , 14.31 , 25.64 , 40.94 , 45.33 , 70.32 , 102.31 , 148.16 , 122.28 , 78.63 
EPS, 0.29 , 0.44 , 0.87 , 1.08 , 1.89 , 3.39 , 5.42 , 6.00 , 9.30 , 13.53 , 19.59 , 16.17 , 10.40 
Price to earning, 5.54 , 7.97 , 5.49 , 5.17 , 6.80 , 16.86 , 42.79 , 34.59 , 42.30 , 44.17 , 21.90 , 35.74 , 21.23 
Price, 1.63 , 3.51 , 4.75 , 5.60 , 12.89 , 57.21 , 231.89 , 207.55 , 393.61 , 597.76 , 428.95 , 577.86 , 220.75 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,45.35%,34.71%,36.87%,26.42%,23.56%,18.44%,20.01%,16.13%,14.78%,,,
OPM,4.36%,4.10%,11.18%,10.07%,17.92%,20.49%,23.81%,27.03%,27.47%,33.35%,35.04%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,24.56%,26.34%,28.31%,21.09%,25.86%,25.86%,21.09%
,,,,,,OPM,23.79%,25.83%,27.73%,29.88%,35.04%,35.04%,23.79%
,,,,,,Price to Earning, 21.23 , 26.82 , 33.77 , 35.74 , 21.90 , 35.74 , 21.23 
