CAPRI GLOBAL CAPITAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 169.55 ," 1,067.61 ", 486.33 , 571.51 ," 1,852.63 ", 158.26 , 189.55 , 186.39 , 232.26 , 348.08 , 491.68 , 521.66 , 208.33 
Expenses, 13.88 , 894.81 , 352.63 , 511.52 ," 1,756.68 ", 39.44 , 47.99 , 119.24 , 100.85 , 123.27 , 152.99 , 162.32 , 158.90 
Operating Profit, 155.67 , 172.80 , 133.70 , 59.99 , 95.95 , 118.82 , 141.56 , 67.15 , 131.41 , 224.81 , 338.69 , 359.34 , 49.44 
Other Income, 0.21 , 0.41 , (0.26), 0.65 , 13.05 , 7.92 , 2.61 , 0.14 , 5.99 , 13.09 , 13.45 , -   , -   
Depreciation, 0.05 , 0.34 , 0.65 , 1.00 , 0.91 , 2.53 , 3.59 , 3.32 , 4.19 , 5.70 , 4.88 , 4.88 , 4.88 
Interest, 1.61 , 1.56 , 8.68 , 0.26 , 0.07 , 1.61 , 4.70 , 11.85 , 38.02 , 99.29 , 169.89 , 169.89 , 169.89 
Profit before tax, 154.22 , 171.31 , 124.11 , 59.38 , 108.02 , 122.60 , 135.87 , 52.12 , 95.20 , 132.91 , 177.37 , 184.57 , (125.33)
Tax, 52.78 , 57.71 , 39.85 , 19.11 , 33.75 , 40.83 , 50.69 , 10.92 , 37.41 , 38.91 , 48.69 ,27%,27%
Net profit, 101.44 , 113.60 , 84.26 , 40.27 , 74.27 , 81.76 , 85.18 , 41.20 , 57.78 , 94.00 , 128.68 , 133.90 , (90.93)
EPS, 7.51 , 8.19 , 4.83 , 2.31 , 4.25 , 4.67 , 4.86 , 2.35 , 3.30 , 5.37 , 7.35 , 7.65 , (5.19)
Price to earning, 1.70 , 11.57 , 3.01 , 7.36 , 5.24 , 5.44 , 6.82 , 11.35 , 18.93 , 17.75 , 26.46 , 26.46 , 10.51 
Price, 12.76 , 94.75 , 14.57 , 16.99 , 22.31 , 25.45 , 33.15 , 26.71 , 62.45 , 95.26 , 194.40 , 202.29 , (54.58)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,4.89%,5.17%,8.67%,7.06%,6.42%,6.16%,12.74%,9.09%,5.59%,,,
OPM,91.81%,16.19%,27.49%,10.50%,5.18%,75.08%,74.68%,36.03%,56.58%,64.59%,68.88%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.32%,-4.67%,-28.42%,22.46%,49.87%,49.87%,-28.42%
,,,,,,OPM,24.74%,23.73%,61.35%,55.22%,68.88%,68.88%,23.73%
,,,,,,Price to Earning, 10.51 , 12.42 , 14.46 , 18.62 , 26.46 , 26.46 , 10.51 
