CARBORUNDUM UNIVERSAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 18.67 , 18.67 , 18.69 , 18.74 , 18.75 , 18.78 , 18.82 , 18.84 , 18.87 , 18.90 
Reserves, 372.19 , 410.19 , 509.53 , 617.85 , 665.79 , 714.79 , 841.07 , 939.59 ," 1,036.16 "," 1,150.75 "
Borrowings, 347.97 , 283.84 , 164.65 , 96.78 , 132.21 , 118.77 , 83.54 , 109.09 , 2.60 , 1.81 
Other Liabilities, 153.77 , 171.74 , 256.74 , 272.47 , 207.51 , 201.18 , 209.46 , 210.41 , 246.15 , 272.09 
Total, 892.60 , 884.44 , 949.61 ," 1,005.84 "," 1,024.26 "," 1,053.52 "," 1,152.89 "," 1,277.93 "," 1,303.78 "," 1,443.55 "
,,,,,,,,,,
Net Block, 350.08 , 345.72 , 373.21 , 385.33 , 414.13 , 414.65 , 389.33 , 375.34 , 408.09 , 430.44 
Capital Work in Progress, 20.87 , 33.06 , 14.21 , 27.25 , 14.43 , 13.66 , 17.64 , 68.16 , 51.44 , 16.99 
Investments, 172.17 , 171.84 , 164.06 , 134.57 , 124.62 , 130.62 , 237.50 , 256.06 , 254.12 , 311.34 
Other Assets, 349.48 , 333.82 , 398.13 , 458.69 , 471.08 , 494.59 , 508.42 , 578.37 , 590.13 , 684.78 
Total, 892.60 , 884.44 , 949.61 ," 1,005.84 "," 1,024.26 "," 1,053.52 "," 1,152.89 "," 1,277.93 "," 1,303.78 "," 1,443.55 "
,,,,,,,,,,
Working Capital, 195.71 , 162.08 , 141.39 , 186.22 , 263.57 , 293.41 , 298.96 , 367.96 , 343.98 , 412.69 
Debtors, 152.96 , 160.02 , 177.22 , 184.72 , 202.37 , 226.62 , 224.29 , 253.21 , 256.28 , 326.74 
Inventory, 116.55 , 119.16 , 154.80 , 187.69 , 179.96 , 186.14 , 208.42 , 225.24 , 226.77 , 260.40 
,,,,,,,,,,
Debtor Days, 86.16 , 80.44 , 70.33 , 60.24 , 67.39 , 72.45 , 70.49 , 71.54 , 66.55 , 75.66 
Inventory Turnover, 5.56 , 6.09 , 5.94 , 5.96 , 6.09 , 6.13 , 5.57 , 5.74 , 6.20 , 6.05 
,,,,,,,,,,
Return on Equity,15%,14%,24%,23%,11%,10%,17%,12%,12%,12%
Return on Capital Emp,,15%,26%,29%,16%,14%,23%,18%,17%,19%
,,,,,,,,,,
