CELESTIAL BIOLABS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 3.60 , 2.92 , 1.03 , 3.23 , 3.23 , 3.27 , 5.79 , 8.02 , 13.40 , 3.34 
Cash from Investing Activity, (4.47), (6.60), (16.49), (4.17), (4.17), (8.19), (3.60), (11.61), (13.89), (4.88)
Cash from Financing Activity, 0.09 , 7.79 , 11.30 , 1.04 , 1.04 , 5.29 , (1.88), 3.66 , (0.02), 1.14 
Net Cash Flow, (0.78), 4.11 , (4.16), 0.10 , 0.10 , 0.37 , 0.30 , 0.07 , (0.51), (0.40)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
