CENTRAL DEPOSITORY SERVICES (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 24.22 , 32.54 , 41.40 , 29.38 , 23.85 , 30.83 , 35.68 , 20.93 , 33.00 , 64.57 
Cash from Investing Activity, 46.36 , (88.37), (25.59), (14.91), (5.92), (6.95), (11.42), 7.53 , (1.69), (23.23)
Cash from Financing Activity, (12.23), (12.23), (14.62), (14.57), (18.22), (24.45), (24.45), (27.67), (31.44), (37.73)
Net Cash Flow, 58.35 , (68.06), 1.19 , (0.10), (0.29), (0.58), (0.20), 0.79 , (0.14), 3.61 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
