CENTRUM CAPITAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (39.07), 7.41 , 23.99 , (26.70), 7.86 , 3.70 , 8.39 , (70.95), (9.42), 14.61 
Cash from Investing Activity, 41.33 , 11.06 , (89.52), (16.27), 4.85 , (52.53), 10.53 , 11.92 , 99.38 , (311.48)
Cash from Financing Activity, 3.40 , (31.11), 63.82 , 43.12 , (13.23), 48.80 , (18.49), 59.60 , (42.25), 263.09 
Net Cash Flow, 5.66 , (12.64), (1.71), 0.15 , (0.52), (0.03), 0.42 , 0.57 , 47.71 , (33.78)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
