CENTUM ELECTRONICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 7.40 , 7.40 , 12.35 , 12.37 , 12.37 , 12.43 , 12.57 , 12.66 , 12.75 , 12.87 
Reserves, 24.87 , 64.09 , 66.07 , 69.89 , 64.11 , 91.74 , 119.02 , 148.13 , 174.42 , 147.45 
Borrowings, 2.00 , 26.50 , 37.92 , 35.94 , 34.02 , 31.55 , 59.45 , 69.97 , 150.11 , 207.97 
Other Liabilities, 12.62 , 42.76 , 45.52 , 39.24 , 49.73 , 64.35 , 113.54 , 143.47 , 146.83 , 195.14 
Total, 46.89 , 140.75 , 161.86 , 157.44 , 160.23 , 200.07 , 304.58 , 374.23 , 484.11 , 563.43 
,,,,,,,,,,
Net Block, 15.15 , 37.20 , 33.28 , 29.30 , 24.61 , 36.42 , 31.61 , 39.92 , 113.45 , 109.41 
Capital Work in Progress, -   , 1.65 , -   , -   , 0.07 , 0.05 , 0.02 , 20.85 , 0.16 , 0.63 
Investments, 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 4.18 , 51.66 , 48.77 
Other Assets, 28.88 , 99.04 , 125.72 , 125.28 , 132.69 , 160.74 , 270.09 , 309.28 , 318.84 , 404.62 
Total, 46.89 , 140.75 , 161.86 , 157.44 , 160.23 , 200.07 , 304.58 , 374.23 , 484.11 , 563.43 
,,,,,,,,,,
Working Capital, 16.26 , 56.28 , 80.20 , 86.04 , 82.96 , 96.39 , 156.55 , 165.81 , 172.01 , 209.48 
Debtors, 2.40 , 29.00 , 46.06 , 59.19 , 58.61 , 73.05 , 90.35 , 88.76 , 89.01 , 94.76 
Inventory, 7.43 , 41.12 , 48.14 , 35.78 , 46.92 , 51.94 , 112.00 , 132.86 , 163.39 , 247.31 
,,,,,,,,,,
Debtor Days, 40.69 , 98.91 , 89.94 , 119.30 , 118.36 , 91.38 , 104.29 , 97.68 , 83.96 , 97.33 
Inventory Turnover, 2.90 , 2.60 , 3.88 , 5.06 , 3.85 , 5.62 , 2.82 , 2.50 , 2.37 , 1.44 
,,,,,,,,,,
Return on Equity,1%,0%,4%,6%,-8%,29%,24%,20%,16%,-14%
Return on Capital Emp,,5%,10%,10%,-3%,36%,28%,23%,17%,-1%
,,,,,,,,,,
