CHEMFAB ALKALIS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 7.28 , 13.83 , 13.83 
Reserves, -   , -   , -   , -   , -   , -   , -   , (17.35), 201.09 , 222.14 
Borrowings, -   , -   , -   , -   , -   , -   , -   , 63.57 , 16.35 , 22.70 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , 16.51 , 43.82 , 41.71 
Total, -   , -   , -   , -   , -   , -   , -   , 70.01 , 275.09 , 300.38 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 57.33 , 164.34 , 172.82 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 0.96 , 11.36 , 1.62 
Investments, -   , -   , -   , -   , -   , -   , -   , 0.02 , 0.29 , 0.05 
Other Assets, -   , -   , -   , -   , -   , -   , -   , 11.70 , 99.10 , 125.89 
Total, -   , -   , -   , -   , -   , -   , -   , 70.01 , 275.09 , 300.38 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , (4.81), 55.28 , 84.18 
Debtors, -   , -   , -   , -   , -   , -   , -   , 0.62 , 8.46 , 17.11 
Inventory, -   , -   , -   , -   , -   , -   , -   , 1.67 , 4.31 , 3.27 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , 9.12 , 22.02 , 34.77 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , 14.86 , 32.53 , 54.93 
,,,,,,,,,,
Return on Equity,,,,,,,,,7%,11%
Return on Capital Emp,,,,,,,,13%,15%,18%
,,,,,,,,,,
