CHOLAMANDALAM FINANCIAL HOLDINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 109.58 , 151.50 , 261.03 , 254.38 , 300.90 , 278.68 , 167.29 , 135.11 , (18.69), 111.42 
Cash from Investing Activity, (126.82), (421.38), (164.36), (152.97), (697.09), (185.95), (54.30), 793.53 , (607.54), (45.35)
Cash from Financing Activity, 11.29 , 266.43 , (91.65), (29.40), 343.45 , (95.52), (116.69), (219.97), (106.31), (11.00)
Net Cash Flow, (5.95), (3.45), 5.02 , 72.01 , (52.74), (2.79), (3.70), 708.67 , (732.54), 55.07 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
