CHROMATIC INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 1.94 , (14.71), (90.45), (58.34), (1.56), (1.65), 6.95 , 1.61 , 1.30 , 0.33 
Cash from Investing Activity, (0.10), (1.12), (85.82), (16.91), (0.15), 0.05 , 0.04 , (0.33), 0.17 , 0.05 
Cash from Financing Activity, (1.74), 15.95 , 247.38 , 3.60 , 1.74 , 2.13 , (5.82), (1.05), (1.86), (0.95)
Net Cash Flow, 0.10 , 0.12 , 71.11 , (71.65), 0.03 , 0.53 , 1.18 , 0.23 , (0.40), (0.57)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
