CIMMCO LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Jun-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 14.25 , 20.15 , 20.15 , 20.15 , 20.15 , 20.15 , 20.15 , 20.15 , 20.15 , 27.35 
Reserves, (587.87), 1.15 , 158.56 , 161.61 , 150.47 , 136.95 , 110.29 , 160.51 , 145.58 , 115.05 
Borrowings, 613.76 , 145.28 , 164.41 , 107.37 , 91.47 , 78.05 , 70.75 , 88.06 , 82.91 , 131.01 
Other Liabilities, 151.54 , 29.35 , 93.26 , 20.08 , 31.56 , 25.03 , 73.69 , 53.30 , 156.87 , 134.27 
Total, 191.68 , 195.93 , 436.38 , 309.21 , 293.65 , 260.18 , 274.88 , 322.02 , 405.51 , 407.68 
,,,,,,,,,,
Net Block, 25.50 , 24.66 , 172.36 , 170.95 , 170.33 , 171.09 , 168.01 , 272.68 , 280.97 , 270.65 
Capital Work in Progress, 0.44 , 1.89 , 3.11 , 2.65 , 2.54 , 0.16 , -   , -   , 0.20 , 1.12 
Investments, -   , -   , -   , -   , -   , -   , -   , 0.01 , 0.01 , -   
Other Assets, 165.74 , 169.38 , 260.91 , 135.61 , 120.78 , 88.93 , 106.87 , 49.33 , 124.33 , 135.91 
Total, 191.68 , 195.93 , 436.38 , 309.21 , 293.65 , 260.18 , 274.88 , 322.02 , 405.51 , 407.68 
,,,,,,,,,,
Working Capital, 14.20 , 140.03 , 167.65 , 115.53 , 89.22 , 63.90 , 33.18 , (3.97), (32.54), 1.64 
Debtors, 4.88 , 17.44 , 47.33 , 10.88 , 16.89 , 12.11 , 10.63 , 5.76 , 12.59 , 17.76 
Inventory, 47.96 , 66.83 , 91.68 , 37.43 , 36.33 , 19.60 , 38.78 , 13.22 , 51.30 , 42.33 
,,,,,,,,,,
Debtor Days, 197.47 , 239.22 , 149.24 , 17.25 , 61.72 , 34.42 , 120.83 , 31.16 , 37.20 , 48.40 
Inventory Turnover, 0.19 , 0.40 , 1.26 , 6.15 , 2.75 , 6.55 , 0.83 , 5.10 , 2.41 , 3.16 
,,,,,,,,,,
Return on Equity,,2614%,6%,2%,-6%,-8%,-20%,-8%,-12%,-16%
Return on Capital Emp,,537%,2%,6%,0%,0%,-8%,-2%,-3%,-4%
,,,,,,,,,,
