CINELINE INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 120.32 , 156.84 , 177.00 , 241.56 , 18.96 , 19.61 , 20.40 , 22.03 , 22.43 , 22.26 , 24.24 , 24.24 , 16.05 
Expenses, 104.46 , 139.22 , 156.94 , 208.53 , 5.55 , 6.65 , 6.95 , 7.57 , 7.30 , 7.72 , 8.16 , 8.16 , 12.71 
Operating Profit, 15.86 , 17.62 , 20.06 , 33.03 , 13.41 , 12.96 , 13.45 , 14.46 , 15.13 , 14.54 , 16.08 , 16.08 , 3.33 
Other Income, 9.64 , 5.81 , 5.33 , (3.63), (0.53), 3.10 , 8.34 , 9.31 , 11.07 , 10.09 , 10.71 , -   , -   
Depreciation, 11.51 , 14.80 , 17.36 , 19.60 , 4.16 , 4.81 , 6.11 , 6.12 , 3.57 , 3.58 , 3.64 , 3.64 , 3.64 
Interest, 5.81 , 7.90 , 11.08 , 14.99 , 3.39 , 6.62 , 7.78 , 10.06 , 8.36 , 7.76 , 9.61 , 9.61 , 9.61 
Profit before tax, 8.18 , 0.73 , (3.05), (5.18), 5.33 , 4.62 , 7.91 , 7.57 , 14.27 , 13.29 , 13.54 , 2.83 , (9.92)
Tax, 1.77 , (5.30), (1.51), (6.08), 1.49 , 1.51 , 3.96 , 1.81 , 3.75 , 2.74 , 3.69 ,27%,27%
Net profit, 6.41 , 6.03 , (1.54), 0.89 , 3.84 , 3.11 , 3.95 , 5.77 , 10.52 , 10.55 , 9.85 , 2.06 , (7.22)
EPS, 1.14 , 1.08 , (0.28), 0.16 , 1.37 , 1.11 , 1.41 , 2.06 , 3.76 , 3.77 , 3.52 , 0.74 , (2.58)
Price to earning, 18.64 , 29.43 , (71.97), 97.29 , 8.58 , 11.67 , 10.49 , 12.96 , 21.37 , 21.01 , 12.81 , 17.04 , 12.81 
Price, 21.34 , 31.69 , 19.79 , 15.46 , 11.76 , 12.96 , 14.80 , 26.70 , 80.29 , 79.17 , 45.05 , 12.53 , (33.00)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,52.42%,55.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.31%,0.00%,,,
OPM,13.18%,11.23%,11.33%,13.67%,70.73%,66.09%,65.93%,65.64%,67.45%,65.32%,66.34%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-17.10%,-25.64%,3.26%,2.95%,8.89%,8.89%,-25.64%
,,,,,,OPM,20.76%,31.85%,66.09%,66.14%,66.34%,66.34%,20.76%
,,,,,,Price to Earning, 24.42 , 24.52 , 15.05 , 17.04 , 12.81 , 17.04 , 12.81 
