CINEVISTA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 2.50 , 7.19 , 10.55 , 4.35 , 2.78 , -   , 7.58 , (8.13), (0.01), 0.01 
Cash from Investing Activity, (1.70), (2.68), (10.69), (1.75), (3.64), -   , (1.76), 6.59 , -   , -   
Cash from Financing Activity, (1.26), (2.49), (1.87), (3.38), 1.08 , -   , (5.85), 1.50 , 0.01 , (0.01)
Net Cash Flow, (0.46), 2.02 , (2.01), (0.78), 0.22 , -   , (0.03), (0.04), -   , -   
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
