COCHIN SHIPYARD LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (101.79), 10.55 , (23.85), 310.42 , 48.31 , (584.18), 663.42 , 40.07 , 212.28 , (751.77)
Cash from Investing Activity, (0.41), (52.66), 21.70 , 9.93 , (93.19), 15.25 , 15.52 , 46.69 , 64.75 , 54.75 
Cash from Financing Activity, (133.76), (186.42), (57.86), (85.81), (89.83), 271.01 , (235.39), (31.89), (112.52), 812.97 
Net Cash Flow, (235.96), (228.53), (60.01), 234.54 , (134.71), (297.92), 443.55 , 54.87 , 164.51 , 115.96 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
