COLGATE-PALMOLIVE (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 13.60 , 13.60 , 13.60 , 13.60 , 13.60 , 13.60 , 13.60 , 27.20 , 27.20 , 27.20 
Reserves, 202.70 , 312.51 , 370.45 , 421.79 , 475.99 , 586.28 , 756.72 ," 1,003.84 "," 1,246.60 "," 1,497.41 "
Borrowings, 4.69 , 4.59 , 0.05 , 0.05 , -   , -   , -   , -   , -   , -   
Other Liabilities, 568.73 , 570.77 , 667.84 , 711.30 , 835.31 , 918.37 , 962.54 ," 1,007.96 "," 1,036.85 "," 1,039.25 "
Total, 789.72 , 901.47 ," 1,051.94 "," 1,146.74 "," 1,324.90 "," 1,518.25 "," 1,732.86 "," 2,039.00 "," 2,310.65 "," 2,563.86 "
,,,,,,,,,,
Net Block, 173.93 , 246.95 , 255.05 , 254.42 , 280.66 , 555.91 , 781.58 ," 1,008.14 "," 1,108.11 "," 1,145.91 "
Capital Work in Progress, 4.67 , 6.19 , 8.21 , 69.38 , 101.96 , 141.51 , 141.18 , 78.37 , 166.59 , 158.58 
Investments, 38.33 , 21.00 , 38.74 , 47.12 , 47.12 , 37.13 , 37.13 , 31.16 , 31.16 , 31.16 
Other Assets, 572.79 , 627.33 , 749.94 , 775.82 , 895.16 , 783.70 , 772.97 , 921.33 ," 1,004.79 "," 1,228.21 "
Total, 789.72 , 901.47 ," 1,051.94 "," 1,146.74 "," 1,324.90 "," 1,518.25 "," 1,732.86 "," 2,039.00 "," 2,310.65 "," 2,563.86 "
,,,,,,,,,,
Working Capital, 4.06 , 56.56 , 82.10 , 64.52 , 59.85 , (134.67), (189.57), (86.63), (32.06), 188.96 
Debtors, 11.14 , 9.77 , 75.30 , 87.27 , 81.21 , 54.73 , 69.64 , 101.54 , 129.90 , 201.03 
Inventory, 82.42 , 110.55 , 153.70 , 217.68 , 185.30 , 225.74 , 252.23 , 291.53 , 292.55 , 226.71 
,,,,,,,,,,
Debtor Days, 2.40 , 1.82 , 12.03 , 11.83 , 9.37 , 5.58 , 6.38 , 9.58 , 11.91 , 17.52 
Inventory Turnover, 20.56 , 17.75 , 14.87 , 12.37 , 17.07 , 15.85 , 15.79 , 13.27 , 13.61 , 18.47 
,,,,,,,,,,
Return on Equity,134%,130%,105%,103%,101%,90%,73%,56%,45%,44%
Return on Capital Emp,,176%,146%,144%,143%,134%,114%,93%,74%,70%
,,,,,,,,,,
