COMPUCOM SOFTWARE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.05 , 10.05 , 15.83 , 15.83 , 15.83 , 15.83 , 15.83 , 15.83 , 15.83 , 15.83 
Reserves, 54.58 , 62.68 , 75.68 , 84.01 , 90.60 , 97.14 , 101.43 , 107.44 , 103.13 , 105.26 
Borrowings, 40.02 , 42.22 , 52.73 , 31.67 , 28.20 , 40.26 , 30.56 , 22.76 , 7.43 , 2.81 
Other Liabilities, 26.36 , 26.70 , 31.83 , 40.75 , 44.82 , 43.92 , 34.42 , 31.25 , 31.23 , 22.66 
Total, 131.01 , 141.65 , 176.07 , 172.26 , 179.45 , 197.15 , 182.24 , 177.28 , 157.62 , 146.56 
,,,,,,,,,,
Net Block, 72.35 , 57.79 , 65.69 , 41.26 , 45.94 , 73.22 , 59.94 , 46.56 , 32.13 , 20.52 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.14 
Investments, 4.62 , 6.75 , 7.92 , 7.90 , 9.09 , 9.09 , 9.10 , 9.10 , 9.14 , 9.71 
Other Assets, 54.04 , 77.11 , 102.46 , 123.10 , 124.42 , 114.84 , 113.20 , 121.62 , 116.35 , 115.19 
Total, 131.01 , 141.65 , 176.07 , 172.26 , 179.45 , 197.15 , 182.24 , 177.28 , 157.62 , 146.56 
,,,,,,,,,,
Working Capital, 27.68 , 50.41 , 70.63 , 82.35 , 79.60 , 70.92 , 78.78 , 90.37 , 85.12 , 92.53 
Debtors, 33.41 , 45.31 , 60.29 , 79.27 , 65.99 , 60.53 , 61.55 , 64.44 , 63.88 , 46.39 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.90 
,,,,,,,,,,
Debtor Days, 253.11 , 278.28 , 309.81 , 413.63 , 337.91 , 313.38 , 427.84 , 421.82 , 449.43 , 370.51 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , 24.05 
,,,,,,,,,,
Return on Equity,13%,13%,13%,11%,8%,9%,5%,6%,1%,2%
Return on Capital Emp,,15%,16%,13%,13%,13%,9%,9%,3%,4%
,,,,,,,,,,
