CONSOLIDATED FINVEST & HOLDINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 1.95 , 8.27 , (20.43), (14.22), (15.20), 43.67 , (1.71), (66.44), (20.45), 57.46 
Cash from Investing Activity, 52.25 , (56.40), 24.19 , 11.18 , 16.91 , (43.20), 0.94 , 66.72 , 20.17 , (57.33)
Cash from Financing Activity, (1.89), (1.89), (1.88), (1.88), (1.88), -   , -   , -   , -   , -   
Net Cash Flow, 52.31 , (50.02), 1.88 , (4.92), (0.17), 0.47 , (0.77), 0.28 , (0.28), 0.13 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
