CONTROL PRINT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 37.88 , 46.07 , 58.44 , 66.54 , 79.82 , 91.06 , 112.92 , 134.52 , 147.83 , 173.93 , 174.60 , 204.64 , 200.97 
Expenses, 35.90 , 43.64 , 53.55 , 57.39 , 64.55 , 70.72 , 87.37 , 98.81 , 109.83 , 119.83 , 134.61 , 147.32 , 157.05 
Operating Profit, 1.98 , 2.43 , 4.89 , 9.15 , 15.27 , 20.34 , 25.55 , 35.71 , 38.00 , 54.10 , 39.99 , 57.32 , 43.93 
Other Income, 0.16 , 1.47 , 4.92 , 4.10 , 1.00 , 0.95 , 4.36 , 2.84 , 9.19 , (1.31), 5.33 , -   , -   
Depreciation, 0.76 , 0.92 , 0.99 , 0.89 , 0.96 , 1.18 , 1.92 , 2.66 , 20.08 , 12.97 , 7.43 , 7.43 , 7.43 
Interest, 0.49 , 0.81 , 1.15 , 1.34 , 0.28 , 0.75 , 1.05 , 1.63 , 1.06 , 1.30 , 0.26 , 0.26 , 0.26 
Profit before tax, 0.89 , 2.17 , 7.68 , 11.02 , 15.04 , 19.36 , 26.94 , 34.27 , 26.04 , 38.52 , 37.63 , 49.63 , 36.24 
Tax, 0.64 , 0.14 , 1.80 , 2.61 , 2.60 , 5.25 , 7.79 , 7.82 , 6.30 , 6.88 , 7.57 ,20%,20%
Net profit, 0.25 , 2.03 , 5.88 , 8.41 , 12.44 , 14.11 , 19.15 , 26.45 , 19.75 , 31.63 , 30.05 , 39.65 , 28.95 
EPS, 0.32 , 2.46 , 6.78 , 9.70 , 13.71 , 15.55 , 19.45 , 16.88 , 12.60 , 19.37 , 18.40 , 24.28 , 17.72 
Price to earning, 50.05 , 9.70 , 3.65 , 2.56 , 3.07 , 2.69 , 7.37 , 16.88 , 21.57 , 22.99 , 13.79 , 18.81 , 11.37 
Price, 15.95 , 23.88 , 24.73 , 24.84 , 42.14 , 41.80 , 143.36 , 284.90 , 271.78 , 445.28 , 253.75 , 456.57 , 201.44 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,20.57%,14.55%,16.09%,20.57%,35.54%,47.59%,33.54%,,,
OPM,5.23%,5.27%,8.37%,13.75%,19.13%,22.34%,22.63%,26.55%,25.71%,31.10%,22.90%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,18.45%,16.86%,16.86%,15.49%,17.66%,17.66%,15.49%
,,,,,,OPM,21.86%,24.56%,26.31%,28.01%,22.90%,28.01%,21.86%
,,,,,,Price to Earning, 14.03 , 11.37 , 14.22 , 18.81 , 13.79 , 18.81 , 11.37 
