COUNTRY CONDOS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 1.01 , 1.17 , 3.59 , 4.63 , 6.72 , 8.03 , 32.96 , 45.27 , 27.12 , 23.82 , 25.82 , 25.82 , 21.17 
Expenses, 0.35 , 0.94 , 3.46 , 3.48 , 5.91 , 6.94 , 31.55 , 44.00 , 25.72 , 22.38 , 24.36 , 24.36 , 20.27 
Operating Profit, 0.66 , 0.23 , 0.13 , 1.15 , 0.81 , 1.09 , 1.41 , 1.27 , 1.40 , 1.44 , 1.46 , 1.46 , 0.90 
Other Income, -   , 0.14 , 0.28 , 0.07 , 0.11 , 0.06 , (0.10), 0.31 , -   , -   , -   , -   , -   
Depreciation, 0.52 , 0.01 , 0.01 , 0.11 , 0.16 , 0.21 , 0.29 , 0.27 , 0.28 , 0.29 , 0.31 , 0.31 , 0.31 
Interest, 0.05 , 0.04 , 0.03 , 0.04 , 0.08 , 0.12 , 0.26 , 0.13 , 0.14 , 0.27 , 0.12 , 0.12 , 0.12 
Profit before tax, 0.09 , 0.32 , 0.37 , 1.07 , 0.68 , 0.81 , 0.76 , 1.18 , 0.99 , 0.88 , 1.03 , 1.03 , 0.47 
Tax, (0.04), 0.09 , 0.12 , 0.34 , (0.13), 0.26 , (0.91), 0.42 , 0.34 , 0.21 , 0.22 ,21%,21%
Net profit, 0.13 , 0.23 , 0.25 , 0.72 , 0.82 , 0.55 , 1.67 , 0.76 , 0.64 , 0.66 , 0.81 , 0.81 , 0.37 
EPS, 0.02 , 0.03 , 0.03 , 0.09 , 0.11 , 0.07 , 0.22 , 0.10 , 0.08 , 0.09 , 0.10 , 0.10 , 0.05 
Price to earning, 104.16 , 149.76 , 95.84 , 18.31 , 9.77 , 26.39 , 7.84 , 44.44 , 46.71 , 36.07 , 31.62 , 39.71 , 27.64 
Price, 2.09 , 4.44 , 3.09 , 1.70 , 1.03 , 1.87 , 1.69 , 4.35 , 3.85 , 3.07 , 3.30 , 4.14 , 1.33 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,65.35%,19.66%,3.62%,24.84%,12.05%,13.57%,4.28%,2.81%,5.16%,6.05%,5.65%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,42.07%,31.04%,28.80%,-10.26%,8.40%,8.40%,-10.26%
,,,,,,OPM,6.21%,5.77%,4.82%,4.27%,5.65%,5.65%,4.27%
,,,,,,Price to Earning, 51.90 , 27.64 , 32.18 , 39.71 , 31.62 , 39.71 , 27.64 
