COX & KINGS FINANCIAL SERVICE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   , 10.40 , 14.00 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   , (0.21), (0.81)
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , 0.21 , -   
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.45 
Total, -   , -   , -   , -   , -   , -   , -   , -   , 10.40 , 13.64 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   , 10.40 , 13.64 
Total, -   , -   , -   , -   , -   , -   , -   , -   , 10.40 , 13.64 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   , 10.40 , 13.19 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,,-2%,-5%
Return on Capital Emp,,,,,,,,,-4%,-5%
,,,,,,,,,,
