COX & KINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 27.93 , 62.92 , 68.26 , 68.26 , 68.26 , 68.26 , 84.66 , 84.66 , 88.28 , 88.28 
Reserves, 157.07 , 636.02 , 988.95 ," 1,033.10 "," 1,070.56 "," 1,161.62 "," 2,235.80 "," 2,387.75 "," 2,767.95 "," 2,922.14 "
Borrowings, 184.65 , 235.67 , 420.08 ," 1,195.33 ", 614.33 , 829.99 , 516.87 ," 1,230.83 "," 1,283.10 "," 1,988.66 "
Other Liabilities, 155.18 , 93.66 , 119.42 , 179.45 , 273.09 , 202.46 , 246.44 , 478.17 , 371.24 , 444.40 
Total, 524.83 ," 1,028.27 "," 1,596.71 "," 2,476.14 "," 2,026.24 "," 2,262.33 "," 3,083.77 "," 4,181.41 "," 4,510.57 "," 5,443.48 "
,,,,,,,,,,
Net Block, 19.19 , 19.35 , 47.58 , 69.42 , 98.31 , 108.93 , 127.99 , 105.86 , 116.24 , 205.99 
Capital Work in Progress, 3.65 , 7.33 , 4.96 , 58.90 , 65.17 , 69.15 , 44.09 , 105.86 , 126.15 , 79.70 
Investments, 109.53 , 323.41 , 283.01 , 125.19 , 143.27 , 174.99 , 176.10 , 233.56 , 234.51 , 248.51 
Other Assets, 392.46 , 678.18 ," 1,261.16 "," 2,222.63 "," 1,719.49 "," 1,909.26 "," 2,735.59 "," 3,736.13 "," 4,033.67 "," 4,909.28 "
Total, 524.83 ," 1,028.27 "," 1,596.71 "," 2,476.14 "," 2,026.24 "," 2,262.33 "," 3,083.77 "," 4,181.41 "," 4,510.57 "," 5,443.48 "
,,,,,,,,,,
Working Capital, 237.28 , 584.52 ," 1,141.74 "," 2,043.18 "," 1,446.40 "," 1,706.80 "," 2,489.15 "," 3,257.96 "," 3,662.43 "," 4,464.88 "
Debtors, 184.96 , 209.03 , 255.25 , 374.15 , 473.79 , 654.48 , 730.42 , 952.65 ," 1,226.20 "," 1,788.50 "
Inventory, 3.53 , 5.58 , 7.20 , 5.07 , 6.15 , 4.22 , 7.68 , 11.66 , 9.45 , 3.93 
,,,,,,,,,,
Debtor Days, 435.30 , 432.54 , 395.34 , 461.71 , 464.54 , 570.68 , 554.74 , 122.08 , 143.57 , 248.90 
Inventory Turnover, 43.93 , 31.61 , 32.73 , 58.34 , 60.53 , 99.19 , 62.58 , 244.27 , 329.89 , 667.36 
,,,,,,,,,,
Return on Equity,21%,7%,7%,7%,5%,9%,6%,7%,6%,6%
Return on Capital Emp,,13%,11%,9%,9%,13%,11%,10%,9%,9%
,,,,,,,,,,
