CREDITACCESS GRAMEEN LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 146.02 , 464.46 , 708.18 , 874.19 ," 1,280.12 "," 1,587.34 "," 1,468.61 "
Expenses, -   , -   , -   , -   , -   , -   , 50.25 , 126.32 , 263.99 , 322.61 , 360.87 , 447.48 , 511.52 
Operating Profit, -   , -   , -   , -   , -   , -   , 95.77 , 338.14 , 444.19 , 551.58 , 919.25 ," 1,139.86 ", 957.09 
Other Income, -   , -   , -   , -   , -   , -   , 1.81 , 2.26 , 1.08 , 1.01 , 3.24 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 0.53 , 2.61 , 4.43 , 5.17 , 7.80 , 7.80 , 7.80 
Interest, -   , -   , -   , -   , -   , -   , 72.25 , 208.25 , 316.54 , 354.57 , 416.97 , 416.97 , 416.97 
Profit before tax, -   , -   , -   , -   , -   , -   , 24.80 , 129.54 , 124.30 , 192.86 , 497.72 , 715.09 , 532.32 
Tax, -   , -   , -   , -   , -   , -   , 8.17 , 46.31 , 44.00 , 68.22 , 175.99 ,35%,35%
Net profit, -   , -   , -   , -   , -   , -   , 16.63 , 83.24 , 80.30 , 124.64 , 321.73 , 462.24 , 344.09 
EPS, -   , -   , -   , -   , -   , -   , 3.14 , 11.41 , 9.37 , 9.71 , 22.40 , 32.19 , 23.96 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 24.55 , 24.55 , 24.55 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 550.05 , 790.28 , 588.29 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,65.59%,72.80%,62.72%,63.10%,71.81%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,81.58%,46.43%,81.58%,46.43%
,,,,,,OPM,65.20%,65.20%,65.20%,65.17%,71.81%,71.81%,65.17%
,,,,,,Price to Earning, 24.55 , 24.55 , 24.55 , 24.55 , 24.55 , 24.55 , 24.55 
