CREST VENTURES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 14.87 , 14.87 , 14.87 , 14.87 , 17.37 , 17.37 , 17.37 , 17.37 , 26.05 , 26.05 
Reserves, 143.47 , 144.62 , 145.35 , 149.06 , 166.45 , 166.69 , 176.63 , 156.55 , 193.94 , 240.81 
Borrowings, -   , -   , 19.00 , 38.76 , 42.83 , 56.01 , 43.37 , 64.74 , 58.50 , 64.98 
Other Liabilities, 16.86 , 20.20 , 5.03 , 4.16 , 114.67 , 103.57 , 22.95 , 17.51 , 9.98 , 12.92 
Total, 175.20 , 179.69 , 184.25 , 206.85 , 341.32 , 343.64 , 260.32 , 256.17 , 288.47 , 344.76 
,,,,,,,,,,
Net Block, 0.36 , 0.34 , 0.30 , 0.23 , 0.22 , 0.22 , 1.11 , 1.01 , 39.73 , 39.41 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 80.24 , 84.77 , 56.57 , 86.41 , 92.30 , 141.18 , 158.04 , 121.28 , 125.01 , 172.18 
Other Assets, 94.60 , 94.58 , 127.38 , 120.21 , 248.80 , 202.24 , 101.17 , 133.88 , 123.73 , 133.17 
Total, 175.20 , 179.69 , 184.25 , 206.85 , 341.32 , 343.64 , 260.32 , 256.17 , 288.47 , 344.76 
,,,,,,,,,,
Working Capital, 77.74 , 74.38 , 122.35 , 116.05 , 134.13 , 98.67 , 78.22 , 116.37 , 113.75 , 120.25 
Debtors, 0.26 , 2.70 , 0.18 , 0.05 , 0.31 , 0.70 , 0.40 , 0.53 , 0.78 , 1.80 
Inventory, 43.59 , 44.11 , 42.89 , 42.69 , 138.67 , 117.13 , 43.78 , 43.78 , 7.83 , 10.00 
,,,,,,,,,,
Debtor Days, 17.41 , 71.57 , 8.18 , 1.48 , 9.78 , 7.94 , 1.43 , 7.96 , 14.15 , 9.10 
Inventory Turnover, 0.13 , 0.31 , 0.19 , 0.29 , 0.08 , 0.27 , 2.33 , 0.56 , 2.57 , 7.22 
,,,,,,,,,,
Return on Equity,1%,2%,1%,3%,1%,1%,6%,6%,2%,18%
Return on Capital Emp,,3%,3%,5%,4%,4%,9%,7%,5%,21%
,,,,,,,,,,
