CROMPTON GREAVES CONSUMER ELECTRICAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   ," 1,783.28 "," 3,900.89 "," 4,079.66 "," 4,478.91 "," 4,478.91 "," 4,517.98 "
Expenses, -   , -   , -   , -   , -   , -   , 2.86 ," 1,573.80 "," 3,416.25 "," 3,548.62 "," 3,893.12 "," 3,893.12 "," 3,951.07 "
Operating Profit, -   , -   , -   , -   , -   , -   , (2.86), 209.48 , 484.64 , 531.04 , 585.79 , 585.79 , 566.91 
Other Income, -   , -   , -   , -   , -   , -   , -   , (10.08), 16.97 , 30.75 , 48.26 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 6.27 , 11.04 , 12.61 , 12.89 , 12.89 , 12.89 
Interest, -   , -   , -   , -   , -   , -   , -   , 35.45 , 65.53 , 63.74 , 59.60 , 59.60 , 59.60 
Profit before tax, -   , -   , -   , -   , -   , -   , (2.86), 157.68 , 425.04 , 485.44 , 561.56 , 513.30 , 494.42 
Tax, -   , -   , -   , -   , -   , -   , (0.99), 52.49 , 141.87 , 161.65 , 159.04 ,28%,28%
Net profit, -   , -   , -   , -   , -   , -   , (1.87), 105.19 , 283.17 , 323.79 , 402.52 , 367.93 , 354.40 
EPS, -   , -   , -   , -   , -   , -   , (74.80), 1.68 , 4.52 , 5.17 , 6.42 , 5.87 , 5.65 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 48.02 , 44.81 , 36.28 , 43.04 , 36.28 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 216.98 , 231.47 , 232.90 , 252.55 , 205.06 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.20%,33.88%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.75%,12.42%,13.02%,13.08%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,9.79%,9.79%,9.79%
,,,,,,OPM,12.55%,12.55%,12.55%,12.55%,13.08%,13.08%,12.55%
,,,,,,Price to Earning, 43.04 , 43.04 , 43.04 , 43.04 , 36.28 , 43.04 , 36.28 
