CUBEX TUBINGS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 49.25 , 64.31 , 51.64 , 57.07 , 38.22 , 44.85 , 57.61 , 51.84 , 45.51 , 50.96 , 70.73 , 70.73 , 48.13 
Expenses, 51.12 , 62.05 , 49.28 , 55.23 , 39.03 , 45.42 , 56.88 , 51.53 , 45.45 , 51.12 , 70.07 , 70.07 , 48.01 
Operating Profit, (1.87), 2.26 , 2.36 , 1.84 , (0.81), (0.57), 0.73 , 0.31 , 0.06 , (0.16), 0.66 , 0.66 , 0.12 
Other Income, 1.76 , 1.20 , 0.33 , 0.44 , 1.38 , 2.94 , 1.39 , 1.85 , 2.10 , 2.49 , 1.91 , -   , -   
Depreciation, 1.03 , 1.21 , 1.34 , 1.48 , 1.74 , 1.93 , 1.59 , 1.52 , 1.47 , 1.41 , 1.32 , 1.32 , 1.32 
Interest, 0.08 , 0.08 , 0.14 , 0.14 , 0.08 , 0.09 , 0.09 , 0.18 , 0.24 , 0.43 , 0.49 , 0.49 , 0.49 
Profit before tax, (1.22), 2.17 , 1.19 , 0.65 , 0.32 , 0.33 , 0.44 , 0.45 , 0.45 , 0.49 , 0.76 , (1.15), (1.69)
Tax, (0.04), 0.30 , 0.25 , 0.31 , 0.29 , 0.18 , 0.24 , 0.16 , 0.11 , 0.10 , 0.16 ,21%,21%
Net profit, (1.18), 1.87 , 0.94 , 0.34 , 0.02 , 0.15 , 0.19 , 0.30 , 0.35 , 0.38 , 0.60 , (0.91), (1.33)
EPS, (1.59), 2.52 , 1.27 , 0.29 , 0.02 , 0.10 , 0.13 , 0.21 , 0.24 , 0.27 , 0.42 , (0.63), (0.93)
Price to earning, (6.23), 7.67 , 11.63 , 29.73 , 265.11 , 43.96 , 75.41 , 45.85 , 54.88 , 81.91 , 29.60 , 53.06 , 29.60 
Price, 9.93 , 19.35 , 14.76 , 8.49 , 4.45 , 4.61 , 10.01 , 9.61 , 13.42 , 21.74 , 12.40 , (33.64), (27.57)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,3.51%,4.57%,3.22%,0.00%,0.00%,1.27%,0.60%,0.13%,0.00%,0.93%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.38%,-0.19%,5.92%,-4.01%,38.80%,38.80%,-4.01%
,,,,,,OPM,1.48%,0.85%,0.44%,0.25%,0.93%,0.93%,0.25%
,,,,,,Price to Earning, 64.58 , 78.31 , 55.27 , 53.06 , 29.60 , 53.06 , 29.60 
