CUMMINS INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 221.15 , 575.94 , 429.25 , 442.49 , 528.61 , 361.07 , 497.91 , 691.80 , 745.57 , 634.41 
Cash from Investing Activity, 10.37 , (336.83), (132.65), 7.74 , (218.64), 55.24 , (56.29), (214.39), (482.43), (132.72)
Cash from Financing Activity, (223.14), (215.50), (304.91), (350.59), (359.00), (425.78), (422.86), (467.74), (224.53), (473.14)
Net Cash Flow, 8.38 , 23.61 , (8.31), 99.64 , (49.03), (9.47), 18.76 , 9.67 , 38.61 , 28.55 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
