CYBERTECH SYSTEMS & SOFTWARE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 26.47 , 26.47 , 26.47 , 26.47 , 26.47 , 26.47 , 26.80 , 26.87 , 27.08 , 27.41 
Reserves, 24.20 , 25.49 , 27.16 , 29.15 , 37.23 , 42.82 , 47.17 , 46.64 , 59.99 , 59.22 
Borrowings, 0.01 , -   , 0.50 , -   , 1.39 , 5.58 , 5.68 , 10.73 , 9.96 , 10.93 
Other Liabilities, 11.33 , 11.16 , 10.97 , 11.62 , 18.30 , 19.75 , 16.38 , 20.07 , 24.67 , 25.22 
Total, 62.01 , 63.12 , 65.10 , 67.24 , 83.39 , 94.62 , 96.03 , 104.31 , 121.70 , 122.78 
,,,,,,,,,,
Net Block, 19.19 , 17.82 , 16.80 , 16.42 , 16.07 , 14.92 , 35.21 , 38.92 , 40.96 , 38.18 
Capital Work in Progress, 0.18 , 0.11 , 0.62 , 6.04 , 13.85 , 26.18 , 11.53 , 7.55 , 7.90 , 10.11 
Investments, 12.93 , 27.55 , 29.74 , 18.43 , 33.37 , 27.88 , 24.24 , 24.24 , 29.55 , 29.51 
Other Assets, 29.71 , 17.64 , 17.94 , 26.35 , 20.10 , 25.64 , 25.05 , 33.60 , 43.29 , 44.98 
Total, 62.01 , 63.12 , 65.10 , 67.24 , 83.39 , 94.62 , 96.03 , 104.31 , 121.70 , 122.78 
,,,,,,,,,,
Working Capital, 18.38 , 6.48 , 6.97 , 14.73 , 1.80 , 5.89 , 8.67 , 13.53 , 18.62 , 19.76 
Debtors, 6.73 , 6.50 , 8.30 , 14.84 , 14.66 , 16.97 , 19.38 , 20.20 , 27.32 , 31.94 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 192.66 , 190.87 , 185.06 , 210.93 , 157.33 , 152.34 , 178.22 , 166.36 , 178.48 , 228.28 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,14%,8%,9%,9%,18%,13%,11%,4%,10%,2%
Return on Capital Emp,,12%,12%,13%,27%,16%,14%,7%,15%,5%
,,,,,,,,,,
