DCM FINANCIAL SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 2.67 , 2.07 , 2.22 , 2.62 , 3.81 , 3.64 , 3.94 , 3.93 , 3.67 , 2.90 , -   , 2.62 , 2.90 
Expenses, 1.68 , 1.28 , 1.24 , 1.08 , 3.03 , 9.95 , 6.35 , 0.99 , 1.17 , 4.49 , 5.14 , 1.26 , 2.90 
Operating Profit, 0.99 , 0.79 , 0.98 , 1.54 , 0.78 , (6.31), (2.41), 2.94 , 2.50 , (1.59), (5.14), 1.36 , -   
Other Income, 1.31 , 1.05 , 1.06 , 0.68 , 2.64 , 0.68 , 0.14 , -   , 1.28 , 4.35 , 7.19 , -   , -   
Depreciation, 0.36 , 0.37 , 0.36 , 0.27 , 0.36 , 0.35 , 0.52 , 0.31 , 0.31 , 0.31 , 0.33 , 0.33 , 0.33 
Interest, -   , -   , -   , -   , 0.02 , -   , 0.04 , -   , 1.42 , 1.01 , 1.86 , 1.86 , 1.86 
Profit before tax, 1.94 , 1.47 , 1.68 , 1.96 , 3.04 , (5.98), (2.83), 2.63 , 2.05 , 1.45 , (0.14), (0.83), (2.19)
Tax, 0.01 , -   , -   , -   , -   , -   , -   , 0.54 , 0.44 , 1.51 , 1.04 ,0%,0%
Net profit, 1.93 , 1.47 , 1.68 , 1.96 , 3.04 , (5.98), (2.83), 2.09 , 1.61 , (0.06), (1.18), (0.83), (2.19)
EPS, 0.87 , 0.66 , 0.76 , 0.89 , 1.37 , (2.70), (1.28), 0.94 , 0.73 , (0.03), (0.53), (0.38), (0.99)
Price to earning, 4.00 , 6.16 , 3.80 , 2.03 , 1.11 , (0.27), (0.67), 0.78 , 4.97 , (74.59), -   , 2.87 , -   
Price, 3.49 , 4.09 , 2.88 , 1.80 , 1.53 , 0.74 , 0.86 , 0.74 , 3.61 , 2.02 , 0.86 , (1.08), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,37.08%,38.16%,44.14%,58.78%,20.47%,0.00%,0.00%,74.81%,68.12%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.92%,3.89%,-5.31%,-9.71%,-20.98%,-9.71%,-20.98%
,,,,,,OPM,33.43%,31.66%,30.09%,51.81%,0.00%,51.81%,0.00%
,,,,,,Price to Earning, 3.26 , 2.22 , 2.87 , 2.87 , -   , 2.87 , -   
