DCM LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 62.84 , 25.15 , (33.59), 124.26 , 36.06 , 41.76 , 57.48 , 53.03 , 26.55 , 88.03 
Cash from Investing Activity, 1.54 , (9.56), (14.46), 3.70 , (11.04), (90.64), (36.48), (25.61), (10.27), 5.82 
Cash from Financing Activity, (61.11), (19.45), 48.86 , (127.22), (25.10), 48.93 , (14.64), (28.27), (15.34), (99.17)
Net Cash Flow, 3.27 , (3.86), 0.81 , 0.74 , (0.08), 0.05 , 6.36 , (0.85), 0.94 , (5.31)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
