DCW LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 39.23 , 39.23 , 39.23 , 40.62 , 41.96 , 41.96 , 42.70 , 43.94 , 43.94 , 44.20 
Reserves, 276.37 , 335.45 , 355.89 , 384.06 , 485.87 , 514.52 , 517.39 , 590.77 , 610.05 , 590.91 
Borrowings, 425.11 , 312.73 , 330.70 , 447.18 , 543.63 , 671.24 , 780.25 , 847.06 , 769.69 , 813.78 
Other Liabilities, 294.10 , 357.49 , 369.90 , 419.58 , 479.84 , 566.61 , 512.02 , 534.57 , 607.18 , 549.50 
Total," 1,034.81 "," 1,044.90 "," 1,095.72 "," 1,291.44 "," 1,551.30 "," 1,794.33 "," 1,852.36 "," 2,016.34 "," 2,030.86 "," 1,998.39 "
,,,,,,,,,,
Net Block, 689.86 , 642.11 , 606.86 , 686.90 , 663.58 , 661.27 , 635.07 ," 1,260.48 "," 1,531.15 "," 1,471.13 "
Capital Work in Progress, 66.13 , 89.80 , 178.09 , 216.20 , 441.67 , 717.93 , 849.47 , 366.82 , 121.81 , 123.60 
Investments, 0.32 , 0.81 , 0.32 , 0.32 , 0.32 , 0.32 , 0.05 , 0.07 , 0.01 , 0.01 
Other Assets, 278.50 , 312.18 , 310.45 , 388.02 , 445.73 , 414.81 , 367.77 , 388.97 , 377.89 , 403.65 
Total," 1,034.81 "," 1,044.90 "," 1,095.72 "," 1,291.44 "," 1,551.30 "," 1,794.33 "," 1,852.36 "," 2,016.34 "," 2,030.86 "," 1,998.39 "
,,,,,,,,,,
Working Capital, (15.60), (45.31), (59.45), (31.56), (34.11), (151.80), (144.25), (145.60), (229.29), (145.85)
Debtors, 97.25 , 101.73 , 92.81 , 73.77 , 92.80 , 94.31 , 94.58 , 116.78 , 80.46 , 86.20 
Inventory, 118.48 , 149.99 , 127.26 , 158.19 , 231.06 , 203.61 , 165.60 , 167.96 , 135.18 , 157.06 
,,,,,,,,,,
Debtor Days, 39.17 , 36.30 , 32.04 , 22.75 , 25.53 , 26.01 , 27.55 , 33.74 , 24.98 , 26.50 
Inventory Turnover, 7.65 , 6.82 , 8.31 , 7.48 , 5.74 , 6.50 , 7.57 , 7.52 , 8.70 , 7.56 
,,,,,,,,,,
Return on Equity,5%,18%,7%,7%,20%,7%,-1%,3%,3%,-3%
Return on Capital Emp,,19%,9%,10%,20%,7%,1%,6%,6%,3%
,,,,,,,,,,
