DIC INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Cash from Operating Activity, 27.33 , 0.32 , 12.94 , 3.05 , 33.11 , 2.36 , 42.12 , 46.06 , (12.77), (8.77)
Cash from Investing Activity, (4.29), 29.39 , (18.64), (14.19), (11.56), (9.81), (5.30), (15.15), (2.96), (21.97)
Cash from Financing Activity, (15.29), (37.17), 2.11 , 1.85 , (20.07), 1.49 , (36.55), (9.90), 28.19 , 11.50 
Net Cash Flow, 7.75 , (7.46), (3.59), (9.29), 1.48 , (5.96), 0.28 , 21.01 , 12.46 , (19.24)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
