DABUR INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 323.57 , 499.59 , 351.54 , 520.12 , 702.55 , 712.23 , 839.20 , 960.30 , 926.94 , 813.67 
Cash from Investing Activity, (238.38), (259.65), (228.82), (218.58), (345.91), (98.43), (612.96), (494.33), (678.94), (261.18)
Cash from Financing Activity, (9.77), (227.87), (94.22), (232.66), (327.77), (534.85), (336.75), (455.04), (273.66), (493.44)
Net Cash Flow, 75.42 , 12.07 , 28.50 , 68.88 , 28.87 , 78.95 , (110.51), 10.93 , (25.66), 59.05 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
