DELTA CORP LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (6.30), 3.27 , 101.95 , 17.11 , 57.69 , (350.55), 51.09 , 67.89 , 81.71 , 132.05 
Cash from Investing Activity, 70.06 , (51.33), (136.00), 12.89 , (105.08), 447.30 , (26.86), (14.67), (53.95), (577.78)
Cash from Financing Activity, (63.92), 51.60 , 76.25 , (5.10), (23.13), (69.68), (41.64), (49.99), (21.35), 487.78 
Net Cash Flow, (0.16), 3.54 , 42.20 , 24.90 , (70.52), 27.07 , (17.41), 3.23 , 6.41 , 42.05 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
