DHANUKA AGRITECH LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 7.83 , 15.70 , (13.76), 58.86 , 46.57 , 33.36 , 109.91 , 139.69 , 63.13 , 138.47 
Cash from Investing Activity, (3.14), (15.67), (4.45), (19.77), (18.50), (19.41), (70.34), (65.62), 20.08 , (111.82)
Cash from Financing Activity, (4.37), (0.28), 21.13 , (35.31), (31.43), (17.03), (38.00), (75.77), (80.60), (19.60)
Net Cash Flow, 0.32 , (0.25), 2.92 , 3.78 , (3.36), (3.08), 1.57 , (1.69), 2.61 , 7.05 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
