DIAMOND POWER INFRASTRUCTURE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-08,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17
Cash from Operating Activity, (33.31), 1.40 , (34.28), (5.14), (24.94), (122.65), 106.09 , (322.18), (148.15), (253.99)
Cash from Investing Activity, (43.57), (78.37), (56.96), (228.23), (157.22), (174.21), (259.21), (178.78), (101.89), 45.11 
Cash from Financing Activity, 53.73 , 82.86 , 99.61 , 249.34 , 191.22 , 340.67 , 152.21 , 500.36 , 259.74 , 210.28 
Net Cash Flow, (23.15), 5.89 , 8.37 , 15.97 , 9.06 , 43.81 , (0.91), (0.60), 9.70 , 1.40 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
