DIAMOND POWER INFRASTRUCTURE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-08,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Trailing,Best Case,Worst Case
Sales, 486.68 , 600.78 , 724.16 ," 1,267.37 "," 1,740.00 "," 2,126.18 "," 2,674.07 "," 2,369.36 "," 2,044.54 "," 1,131.15 ", 696.31 , 849.12 , 863.47 
Expenses, 424.10 , 517.30 , 625.81 ," 1,105.60 "," 1,547.31 "," 1,907.39 "," 2,412.00 "," 2,252.42 "," 2,055.40 "," 1,778.91 "," 1,040.72 ", 831.21 , 863.47 
Operating Profit, 62.58 , 83.48 , 98.35 , 161.77 , 192.69 , 218.79 , 262.07 , 116.94 , (10.86), (647.76), (344.41), 17.91 , -   
Other Income, 2.13 , 1.27 , 1.45 , 1.41 , 3.13 , 6.37 , 6.58 , (20.01), 7.40 , 124.59 , 31.58 , -   , -   
Depreciation, 2.87 , 4.88 , 6.49 , 18.78 , 24.29 , 32.65 , 35.09 , 47.96 , 57.46 , 93.95 , 96.96 , 96.96 , 96.96 
Interest, 14.30 , 21.64 , 23.62 , 24.88 , 48.51 , 85.60 , 111.80 , 159.08 , 223.34 , 191.32 , 25.53 , 25.53 , 25.53 
Profit before tax, 47.54 , 58.23 , 69.69 , 119.52 , 123.39 , 107.08 , 121.97 , (110.12), (283.98), (807.85), (435.32), (104.58), (122.49)
Tax, 3.99 , 5.46 , 19.12 , 21.91 , 15.00 , 15.00 , 18.00 , 5.62 , (14.62), (13.12), (13.12),0%,0%
Net profit, 43.55 , 52.77 , 50.57 , 97.61 , 108.39 , 92.08 , 103.97 , (115.74), (269.36), (794.73), (422.20), (104.58), (122.49)
EPS, 11.56 , 12.83 , 12.29 , 19.41 , 21.55 , 18.31 , 19.01 , (21.17), (46.70), (29.39), (15.65), (3.88), (4.54)
Price to earning, 17.50 , 3.82 , 10.22 , 6.49 , 3.72 , 3.43 , 3.56 , (2.32), (0.60), (1.24), -   , -   , -   
Price, 202.28 , 49.05 , 125.64 , 125.93 , 80.16 , 62.77 , 67.76 , 49.02 , 28.19 , 36.59 , 1.10 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,3.98%,8.33%,11.43%,13.73%,4.04%,0.00%,0.00%,0.00%,0.00%,,,
OPM,12.86%,13.90%,13.58%,12.76%,11.07%,10.29%,9.80%,4.94%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.82%,6.58%,-8.25%,-24.93%,-38.44%,-24.93%,-38.44%
,,,,,,OPM,7.89%,7.13%,5.78%,2.11%,0.00%,2.11%,0.00%
,,,,,,Price to Earning, 6.96 , 4.30 , 3.50 ,  , -   , -   , -   
