DIGJAM LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 13.88 , 10.36 , (14.70), (5.06)
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , 0.20 , 1.11 , (0.43), 6.74 
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , (13.78), (11.10), 14.93 , (1.72)
Net Cash Flow, -   , -   , -   , -   , -   , -   , 0.31 , 0.37 , (0.20), (0.04)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
