DIXON TECHNOLOGIES (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , 4.35 , 43.25 , 6.07 , 40.37 , 25.99 , 46.10 , 59.68 
Cash from Investing Activity, -   , -   , -   , (3.35), (6.06), 1.78 , (10.97), (19.09), (38.90), (95.23)
Cash from Financing Activity, -   , -   , -   , (1.16), (37.22), (9.27), (28.96), (6.85), (7.34), 42.32 
Net Cash Flow, -   , -   , -   , (0.15), (0.03), (1.42), 0.44 , 0.05 , (0.15), 6.77 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
