DOLLAR INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-08,Mar-09,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , 3.36 , 1.84 , 6.21 , -   , -   , 3.01 , 7.56 , 43.03 , (31.08)
Cash from Investing Activity, -   , (0.67), (6.73), (18.02), -   , -   , (21.13), (11.97), (5.59), (10.77)
Cash from Financing Activity, -   , (0.33), 2.29 , 12.62 , -   , -   , 17.14 , 5.70 , (37.79), 51.20 
Net Cash Flow, -   , 2.36 , (2.60), 0.81 , -   , -   , (0.98), 1.30 , (0.34), 9.35 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
