DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 9.56 , 15.76 , 16.77 , 16.77 , 16.77 , 16.77 , 16.77 , 16.77 , 16.77 , 16.77 
Reserves, 100.81 , 173.97 , 208.79 , 221.95 , 234.26 , 200.19 , 155.49 , 129.20 , 95.42 , 78.70 
Borrowings, 146.92 , 88.61 , 111.67 , 109.22 , 113.19 , 89.71 , 66.10 , 60.54 , 63.40 , 92.69 
Other Liabilities, 99.26 , 126.99 , 90.62 , 55.26 , 167.96 , 116.56 , 94.94 , 91.22 , 96.19 , 109.93 
Total, 356.55 , 405.33 , 427.85 , 403.20 , 532.18 , 423.23 , 333.30 , 297.73 , 271.78 , 298.09 
,,,,,,,,,,
Net Block, 37.18 , 34.38 , 31.61 , 28.69 , 30.48 , 26.72 , 21.10 , 17.12 , 29.52 , 26.31 
Capital Work in Progress, 0.19 , 1.45 , 1.65 , 1.16 , 1.14 , 0.56 , 0.56 , -   , -   , -   
Investments, 19.95 , 20.20 , 20.19 , 20.19 , 20.19 , 20.13 , 19.94 , 19.94 , 19.99 , 20.02 
Other Assets, 299.23 , 349.30 , 374.40 , 353.16 , 480.37 , 375.82 , 291.70 , 260.67 , 222.27 , 251.76 
Total, 356.55 , 405.33 , 427.85 , 403.20 , 532.18 , 423.23 , 333.30 , 297.73 , 271.78 , 298.09 
,,,,,,,,,,
Working Capital, 199.97 , 222.31 , 283.78 , 297.90 , 312.41 , 259.26 , 196.76 , 169.45 , 126.08 , 141.83 
Debtors, 173.23 , 181.40 , 213.38 , 181.96 , 210.61 , 159.92 , 129.90 , 113.71 , 72.74 , 96.94 
Inventory, -   , -   , -   , 7.69 , 26.20 , 9.43 , 8.40 , 7.98 , 6.69 , 6.03 
,,,,,,,,,,
Debtor Days, 183.82 , 124.34 , 281.41 , 379.56 , 225.90 , 249.99 , 951.31 ," 1,409.79 ", 426.78 , 645.56 
Inventory Turnover, -   , -   , -   , 22.75 , 12.99 , 24.76 , 5.93 , 3.69 , 9.30 , 9.09 
,,,,,,,,,,
Return on Equity,36%,25%,10%,6%,6%,-16%,-26%,-18%,-35%,-18%
Return on Capital Emp,,31%,15%,11%,11%,-5%,-11%,-6%,-16%,-3%
,,,,,,,,,,
