DONEAR INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 181.48 , 237.41 , 306.93 , 372.22 , 394.23 , 464.26 , 509.32 , 509.20 , 499.15 , 514.08 , 573.75 , 573.75 , 515.86 
Expenses, 175.45 , 217.53 , 263.17 , 330.71 , 350.28 , 413.22 , 451.71 , 452.77 , 455.20 , 461.66 , 519.00 , 516.17 , 466.64 
Operating Profit, 6.03 , 19.88 , 43.76 , 41.51 , 43.95 , 51.04 , 57.61 , 56.43 , 43.95 , 52.42 , 54.75 , 57.58 , 49.23 
Other Income, 3.14 , 5.04 , 3.62 , 6.27 , 7.99 , 5.67 , 6.11 , 3.81 , 7.68 , 2.81 , 2.65 , -   , -   
Depreciation, 20.01 , 35.95 , 31.19 , 25.08 , 23.11 , 21.81 , 25.55 , 20.44 , 14.10 , 11.76 , 9.77 , 9.77 , 9.77 
Interest, 8.93 , 12.88 , 16.10 , 24.29 , 29.22 , 32.07 , 32.76 , 30.44 , 23.33 , 23.72 , 26.10 , 26.10 , 26.10 
Profit before tax, (19.77), (23.91), 0.09 , (1.59), (0.38), 2.82 , 5.39 , 9.35 , 14.18 , 19.77 , 21.53 , 21.71 , 13.36 
Tax, 2.73 , (5.71), (3.46), (1.64), (0.98), (0.90), (2.34), 3.72 , 5.10 , 6.56 , 6.84 ,32%,32%
Net profit, (22.50), (18.20), 3.55 , 0.05 , 0.60 , 3.73 , 7.73 , 5.63 , 9.08 , 13.21 , 14.69 , 14.82 , 9.11 
EPS, (4.33), (3.50), 0.68 , 0.01 , 0.12 , 0.72 , 1.49 , 1.08 , 1.75 , 2.54 , 2.83 , 2.85 , 1.75 
Price to earning, (4.83), (8.09), 39.53 ," 1,914.53 ", 100.05 , 14.67 , 11.17 , 25.70 , 43.86 , 22.93 , 14.19 , 26.67 , 14.19 
Price, 20.90 , 28.33 , 26.99 , 18.41 , 11.54 , 10.52 , 16.60 , 27.83 , 76.59 , 58.24 , 40.10 , 75.99 , 24.88 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,29.30%,2080.00%,173.33%,27.88%,13.45%,18.47%,11.45%,7.87%,,,
OPM,3.32%,8.37%,14.26%,11.15%,11.15%,10.99%,11.31%,11.08%,8.80%,10.20%,9.54%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.27%,7.65%,5.45%,0.31%,11.61%,11.61%,0.31%
,,,,,,OPM,10.45%,10.63%,10.47%,10.04%,9.54%,10.04%,9.54%
,,,,,,Price to Earning, 242.96 , 268.39 , 22.09 , 26.67 , 14.19 , 26.67 , 14.19 
