DR LAL PATHLABS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 122.96 , 166.99 , 224.66 , 319.13 , 421.17 , 540.79 , 636.61 , 765.40 , 881.88 ," 1,024.04 "," 1,164.90 "," 1,199.86 "," 1,211.82 "
Expenses, 99.59 , 129.04 , 171.33 , 239.68 , 334.48 , 405.95 , 485.74 , 561.55 , 651.39 , 768.18 , 882.30 , 889.85 , 917.84 
Operating Profit, 23.37 , 37.95 , 53.33 , 79.45 , 86.69 , 134.84 , 150.87 , 203.85 , 230.49 , 255.86 , 282.60 , 310.01 , 293.98 
Other Income, 3.68 , -   , 2.17 , 1.90 , 2.71 , 8.18 , 16.65 , 20.41 , 27.90 , 31.31 , 46.50 , -   , -   
Depreciation, 6.81 , -   , 12.04 , 18.10 , 18.32 , 31.45 , 31.84 , 32.01 , 26.44 , 31.05 , 36.20 , 36.20 , 36.20 
Interest, 0.53 , -   , 0.59 , 2.51 , 0.36 , 0.24 , 0.39 , 0.49 , 0.70 , 0.82 , 0.70 , 0.70 , 0.70 
Profit before tax, 19.71 , 37.95 , 42.88 , 60.75 , 70.73 , 111.34 , 135.29 , 191.75 , 231.26 , 255.31 , 292.20 , 273.11 , 257.08 
Tax, 6.91 , 12.75 , 14.46 , 19.73 , 21.85 , 37.38 , 43.53 , 66.00 , 78.77 , 87.34 , 96.90 ,33%,33%
Net profit, 12.80 , 25.20 , 28.43 , 41.01 , 48.88 , 73.95 , 91.76 , 125.75 , 152.48 , 167.98 , 195.30 , 182.54 , 171.83 
EPS, 38.92 , 71.45 , 83.82 , 122.25 , 145.70 , 13.78 , 16.80 , 15.21 , 18.36 , 20.16 , 23.43 , 21.90 , 20.62 
Price to earning,  ,  ,  ,  ,  ,  ,  , 64.78 , 52.45 , 42.70 , 46.40 , 51.58 , 46.40 
Price, -   , -   , -   , -   , -   , -   , -   , 985.22 , 962.72 , 860.70 ," 1,087.35 "," 1,129.76 ", 956.67 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,19.56%,20.99%,10.60%,7.72%,9.13%,16.11%,16.34%,22.32%,,,
OPM,19.01%,22.73%,23.74%,24.90%,20.58%,24.93%,23.70%,26.63%,26.14%,24.99%,24.26%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,26.56%,24.20%,19.45%,17.17%,16.12%,17.17%,16.12%
,,,,,,OPM,24.62%,24.89%,25.36%,25.84%,24.26%,25.84%,24.26%
,,,,,,Price to Earning, 51.58 , 51.58 , 51.58 , 51.58 , 46.40 , 51.58 , 46.40 
