DYNEMIC PRODUCTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 11.33 , 11.33 , 11.33 , 11.33 , 11.33 , 11.33 , 11.33 , 11.33 , 11.33 , 11.33 
Reserves, 16.32 , 19.39 , 23.12 , 26.71 , 29.32 , 37.56 , 46.53 , 52.00 , 64.93 , 80.31 
Borrowings, 15.17 , 17.34 , 15.23 , 21.64 , 21.50 , 27.67 , 35.62 , 32.71 , 25.48 , 25.08 
Other Liabilities, 8.31 , 10.53 , 14.69 , 15.56 , 14.77 , 21.31 , 17.94 , 14.46 , 17.02 , 22.32 
Total, 51.13 , 58.59 , 64.37 , 75.24 , 76.92 , 97.87 , 111.42 , 110.50 , 118.76 , 139.04 
,,,,,,,,,,
Net Block, 26.11 , 29.51 , 30.58 , 31.78 , 32.21 , 31.39 , 34.29 , 34.00 , 34.48 , 34.67 
Capital Work in Progress, 4.62 , -   , -   , -   , -   , 9.27 , 9.18 , 9.44 , 9.82 , 14.32 
Investments, 2.53 , 2.39 , 4.18 , 3.69 , 3.88 , 3.76 , 1.68 , 1.45 , 1.41 , 1.36 
Other Assets, 17.87 , 26.69 , 29.61 , 39.77 , 40.83 , 53.45 , 66.27 , 65.61 , 73.05 , 88.69 
Total, 51.13 , 58.59 , 64.37 , 75.24 , 76.92 , 97.87 , 111.42 , 110.50 , 118.76 , 139.04 
,,,,,,,,,,
Working Capital, 9.56 , 16.16 , 14.92 , 24.21 , 26.06 , 32.14 , 48.33 , 51.15 , 56.03 , 66.37 
Debtors, 7.32 , 12.84 , 12.48 , 13.95 , 13.46 , 19.88 , 21.74 , 25.89 , 28.00 , 32.48 
Inventory, 5.94 , 6.97 , 7.33 , 14.60 , 16.41 , 16.64 , 23.55 , 19.98 , 22.08 , 26.97 
,,,,,,,,,,
Debtor Days, 54.40 , 74.51 , 70.12 , 61.40 , 57.29 , 62.40 , 61.82 , 73.21 , 79.47 , 72.16 
Inventory Turnover, 8.27 , 9.02 , 8.86 , 5.68 , 5.23 , 6.99 , 5.45 , 6.46 , 5.82 , 6.09 
,,,,,,,,,,
Return on Equity,7%,16%,17%,14%,11%,21%,16%,12%,18%,19%
Return on Capital Emp,,20%,20%,18%,14%,25%,18%,14%,22%,26%
,,,,,,,,,,
