DYNEMIC PRODUCTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 49.11 , 62.90 , 64.96 , 82.93 , 85.76 , 116.28 , 128.35 , 129.07 , 128.61 , 164.28 , 166.62 , 209.84 , 178.57 
Expenses, 44.07 , 53.38 , 54.16 , 71.93 , 76.27 , 97.54 , 110.55 , 112.33 , 103.34 , 133.06 , 136.90 , 172.41 , 151.12 
Operating Profit, 5.04 , 9.52 , 10.80 , 11.00 , 9.49 , 18.74 , 17.80 , 16.74 , 25.27 , 31.22 , 29.72 , 37.43 , 27.45 
Other Income, 0.56 , 1.22 , 0.41 , 0.22 , 0.50 , 0.18 , 0.28 , (0.02), -   , 0.20 , 0.19 , -   , -   
Depreciation, 0.96 , 1.45 , 1.50 , 1.63 , 1.75 , 1.81 , 3.02 , 3.14 , 3.17 , 3.32 , 3.35 , 3.35 , 3.35 
Interest, 1.46 , 1.77 , 1.24 , 1.60 , 1.56 , 1.37 , 2.25 , 2.09 , 1.50 , 1.19 , 1.16 , 1.16 , 1.16 
Profit before tax, 3.18 , 7.52 , 8.47 , 7.99 , 6.68 , 15.82 , 12.82 , 11.48 , 20.60 , 26.90 , 25.40 , 32.92 , 22.94 
Tax, 1.28 , 2.67 , 2.76 , 2.69 , 2.35 , 5.60 , 3.47 , 3.96 , 7.11 , 9.40 , 7.45 ,29%,29%
Net profit, 1.90 , 4.85 , 5.71 , 5.30 , 4.33 , 10.23 , 9.34 , 7.52 , 13.49 , 17.51 , 17.96 , 23.26 , 16.21 
EPS, 1.68 , 4.28 , 5.04 , 4.68 , 3.82 , 9.03 , 8.24 , 6.64 , 11.91 , 15.46 , 15.85 , 20.54 , 14.31 
Price to earning, 15.09 , 4.79 , 4.90 , 4.90 , 4.08 , 3.50 , 6.36 , 8.77 , 11.95 , 12.51 , 7.70 , 10.23 , 7.47 
Price, 25.30 , 20.53 , 24.71 , 22.93 , 15.60 , 31.61 , 52.45 , 58.23 , 142.30 , 193.33 , 122.05 , 210.13 , 106.94 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,59.47%,30.31%,29.77%,27.74%,33.95%,16.62%,0.00%,22.61%,12.60%,9.71%,,,
OPM,10.26%,15.14%,16.63%,13.26%,11.07%,16.12%,13.87%,12.97%,19.65%,19.00%,17.84%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.36%,14.17%,13.88%,8.57%,27.74%,27.74%,8.57%
,,,,,,OPM,15.37%,15.59%,16.47%,17.35%,17.84%,17.84%,15.37%
,,,,,,Price to Earning, 7.69 , 7.47 , 8.46 , 10.23 , 7.70 , 10.23 , 7.47 
