ERIS LIFESCIENCES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 285.82 , 417.02 , 520.46 , 547.99 , 605.48 , 712.90 , 760.60 , 896.53 , 896.53 , 864.13 
Expenses, -   , -   , -   , 224.39 , 324.96 , 432.09 , 434.13 , 435.02 , 441.70 , 444.68 , 562.88 , 562.88 , 614.27 
Operating Profit, -   , -   , -   , 61.43 , 92.06 , 88.37 , 113.86 , 170.46 , 271.20 , 315.92 , 333.65 , 333.65 , 249.86 
Other Income, -   , -   , -   , 2.73 , 1.06 , 4.36 , 3.43 , 3.28 , 25.08 , 28.22 , 32.50 , -   , -   
Depreciation, -   , -   , -   , 1.94 , 2.31 , 3.75 , 14.67 , 19.55 , 21.44 , 21.79 , 31.60 , 31.60 , 31.60 
Interest, -   , -   , -   , 0.47 , 0.32 , 0.06 , 0.01 , 0.28 , 0.85 , 10.48 , 22.79 , 22.79 , 22.79 
Profit before tax, -   , -   , -   , 61.76 , 90.50 , 88.92 , 102.60 , 153.93 , 273.99 , 311.89 , 311.76 , 279.26 , 195.47 
Tax, -   , -   , -   , 18.47 , 24.70 , 23.78 , 19.28 , 15.96 , 25.84 , 18.24 , 26.40 ,8%,8%
Net profit, -   , -   , -   , 43.29 , 65.80 , 65.15 , 83.33 , 137.97 , 248.14 , 293.66 , 285.38 , 255.61 , 178.92 
EPS, -   , -   , -   , 3.15 , 4.79 , 4.74 , 6.06 , 10.03 , 18.05 , 21.36 , 20.75 , 18.59 , 13.01 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 37.09 , 24.92 , 31.00 , 24.92 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 792.13 , 517.10 , 576.28 , 324.20 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,61.31%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,21.49%,22.08%,16.98%,20.78%,28.15%,38.04%,41.54%,37.22%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,12.77%,11.55%,17.87%,17.87%,11.55%
,,,,,,OPM,28.91%,28.91%,30.50%,36.44%,37.22%,37.22%,28.91%
,,,,,,Price to Earning, 31.00 , 31.00 , 31.00 , 31.00 , 24.92 , 31.00 , 24.92 
