EDELWEISS FINANCIAL SERVICES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 37.47 , 37.54 , 75.20 , 75.68 , 71.89 , 76.91 , 79.18 , 81.40 , 83.26 , 91.55 
Reserves," 1,318.64 "," 1,270.70 "," 1,247.73 "," 1,274.95 "," 1,118.86 "," 1,301.67 "," 1,390.88 "," 1,520.46 "," 1,632.16 "," 3,265.65 "
Borrowings, 509.18 ," 1,453.41 "," 3,596.31 "," 2,410.38 ", 925.40 , 849.06 ," 4,866.65 ", 840.96 , 821.23 , 21.20 
Other Liabilities, 73.60 , 181.27 , 114.11 , 92.88 , 42.92 , 47.28 , 172.50 , 135.45 , 131.37 , 115.27 
Total," 1,938.89 "," 2,942.92 "," 5,033.35 "," 3,853.89 "," 2,159.07 "," 2,274.92 "," 6,509.21 "," 2,578.27 "," 2,668.02 "," 3,493.67 "
,,,,,,,,,,
Net Block, 4.60 , 3.10 , 3.75 , 5.69 , 6.48 , 5.95 , 5.17 , 4.46 , 6.58 , 6.65 
Capital Work in Progress, 1.75 , -   , -   , -   , -   , -   , -   , 2.48 , 3.78 , 1.19 
Investments," 1,249.73 "," 1,153.61 "," 1,199.52 "," 1,464.48 "," 1,429.80 "," 1,363.96 "," 1,473.24 "," 1,556.67 "," 1,663.34 "," 2,665.27 "
Other Assets, 682.81 ," 1,786.21 "," 3,830.08 "," 2,383.72 ", 722.79 , 905.01 ," 5,030.80 "," 1,014.66 ", 994.32 , 820.56 
Total," 1,938.89 "," 2,942.92 "," 5,033.35 "," 3,853.89 "," 2,159.07 "," 2,274.92 "," 6,509.21 "," 2,578.27 "," 2,668.02 "," 3,493.67 "
,,,,,,,,,,
Working Capital, 609.21 ," 1,604.94 "," 3,715.97 "," 2,290.84 ", 679.87 , 857.73 ," 4,858.30 ", 879.21 , 862.95 , 705.29 
Debtors, 4.41 , 58.39 , 17.13 , 20.48 , 12.29 , 21.37 , 26.57 , 93.32 , 52.20 , 63.40 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 8.41 , 87.30 , 14.22 , 36.12 , 28.61 , 36.29 , 39.13 , 101.56 , 42.30 , 52.65 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,2%,3%,4%,5%,4%,5%,8%,10%,8%,4%
Return on Capital Emp,,8%,9%,3%,3%,7%,4%,5%,11%,9%
,,,,,,,,,,
