EICHER MOTORS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 33.80 , 21.96 , 43.75 , 85.10 , 203.75 , 367.61 , 685.96 ," 1,474.33 "," 1,760.91 "," 2,515.39 "
Cash from Investing Activity, 470.12 , (268.14), (138.38), (55.08), (152.92), (297.58), (598.15)," (1,017.30)"," (1,752.36)"," (2,158.46)"
Cash from Financing Activity, (49.89), (111.70), (8.27), (30.67), (50.31), (54.82), (85.63), (465.52), (18.67), (280.44)
Net Cash Flow, 454.03 , (357.88), (102.90), (0.65), 0.52 , 15.21 , 2.18 , (8.49), (10.12), 76.49 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
