EIMCO ELECON (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 5.77 , 5.77 , 5.77 , 5.77 , 5.77 , 5.77 , 5.77 , 5.77 , 5.77 , 5.77 
Reserves, 113.31 , 123.42 , 134.14 , 151.79 , 164.22 , 181.68 , 199.11 , 251.22 , 272.69 , 285.83 
Borrowings, 20.31 , 11.12 , -   , -   , -   , -   , -   , -   , -   , 0.62 
Other Liabilities, 34.68 , 39.23 , 29.96 , 27.37 , 25.37 , 37.57 , 38.99 , 41.34 , 33.87 , 44.44 
Total, 174.07 , 179.54 , 169.87 , 184.93 , 195.36 , 225.02 , 243.87 , 298.33 , 312.33 , 336.66 
,,,,,,,,,,
Net Block, 36.16 , 30.50 , 25.85 , 22.06 , 16.69 , 16.53 , 28.10 , 65.04 , 67.55 , 76.58 
Capital Work in Progress, -   , 0.27 , -   , 0.06 , 2.11 , 0.96 , 0.04 , 0.16 , -   , 0.73 
Investments, 3.85 , 2.56 , 6.26 , 49.75 , 62.19 , 70.81 , 75.19 , 126.21 , 143.23 , 142.50 
Other Assets, 134.06 , 146.21 , 137.76 , 113.06 , 114.37 , 136.72 , 140.54 , 106.92 , 101.55 , 116.85 
Total, 174.07 , 179.54 , 169.87 , 184.93 , 195.36 , 225.02 , 243.87 , 298.33 , 312.33 , 336.66 
,,,,,,,,,,
Working Capital, 99.38 , 106.98 , 107.80 , 85.69 , 89.00 , 99.15 , 101.55 , 65.58 , 67.68 , 72.41 
Debtors, 53.35 , 53.49 , 50.26 , 50.71 , 48.23 , 95.72 , 88.41 , 51.80 , 48.90 , 60.13 
Inventory, 69.80 , 77.17 , 72.70 , 42.26 , 54.26 , 25.34 , 30.93 , 37.71 , 34.19 , 39.25 
,,,,,,,,,,
Debtor Days, 135.49 , 120.40 , 98.82 , 104.00 , 102.61 , 180.65 , 164.30 , 135.03 , 104.26 , 156.68 
Inventory Turnover, 2.06 , 2.10 , 2.55 , 4.21 , 3.16 , 7.63 , 6.35 , 3.71 , 5.01 , 3.57 
,,,,,,,,,,
Return on Equity,13%,10%,10%,13%,9%,11%,11%,7%,9%,6%
Return on Capital Emp,,15%,15%,18%,13%,16%,16%,10%,11%,7%
,,,,,,,,,,
