EIMCO ELECON (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 143.72 , 162.16 , 185.64 , 177.98 , 171.57 , 193.40 , 196.41 , 140.02 , 171.20 , 140.08 , 184.73 , 184.73 , 120.40 
Expenses, 115.61 , 136.46 , 160.79 , 158.33 , 149.59 , 164.35 , 166.98 , 117.35 , 149.32 , 124.72 , 159.47 , 159.47 , 104.41 
Operating Profit, 28.11 , 25.70 , 24.85 , 19.65 , 21.98 , 29.05 , 29.43 , 22.67 , 21.88 , 15.36 , 25.26 , 25.26 , 15.98 
Other Income, 4.36 , 2.49 , 1.88 , 11.71 , 3.82 , 4.40 , 5.44 , 7.53 , 13.48 , 9.60 , 10.70 , -   , -   
Depreciation, 7.42 , 6.95 , 6.36 , 5.31 , 5.25 , 5.11 , 4.33 , 6.30 , 5.18 , 4.99 , 4.96 , 4.96 , 4.96 
Interest, 1.69 , 2.14 , 0.68 , 0.49 , 0.41 , 0.30 , 0.45 , 0.29 , 0.38 , 0.54 , 0.57 , 0.57 , 0.57 
Profit before tax, 23.36 , 19.10 , 19.69 , 25.56 , 20.14 , 28.04 , 30.08 , 23.63 , 29.79 , 19.44 , 30.43 , 19.73 , 10.45 
Tax, 8.13 , 6.30 , 6.29 , 5.23 , 5.01 , 7.87 , 8.56 , 6.17 , 4.70 , 2.99 , 7.19 ,24%,24%
Net profit, 15.23 , 12.80 , 13.40 , 20.33 , 15.14 , 20.17 , 21.52 , 17.46 , 25.09 , 16.44 , 23.22 , 15.07 , 7.98 
EPS, 26.40 , 22.19 , 23.23 , 35.24 , 26.25 , 34.97 , 37.31 , 30.27 , 43.50 , 28.50 , 40.24 , 26.12 , 13.84 
Price to earning, 6.00 , 11.18 , 10.92 , 4.83 , 5.79 , 6.27 , 11.27 , 11.67 , 11.69 , 15.88 , 10.06 , 12.32 , 9.60 
Price, 158.30 , 248.08 , 253.65 , 170.17 , 151.87 , 219.38 , 420.62 , 353.26 , 508.36 , 452.48 , 404.65 , 321.80 , 132.75 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,15.17%,18.05%,17.24%,11.36%,15.26%,11.45%,13.38%,16.49%,11.48%,17.52%,,,
OPM,19.56%,15.85%,13.39%,11.04%,12.81%,15.02%,14.98%,16.19%,12.78%,10.97%,13.67%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-0.28%,-3.94%,-3.97%,-10.65%,31.87%,31.87%,-10.65%
,,,,,,OPM,14.19%,13.44%,14.08%,13.27%,13.67%,13.67%,13.27%
,,,,,,Price to Earning, 9.60 , 9.68 , 11.14 , 12.32 , 10.06 , 12.32 , 9.60 
