ELECON ENGINEERING COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 18.57 , 18.57 , 18.57 , 18.57 , 18.57 , 21.79 , 21.79 , 21.79 , 22.44 , 22.44 
Reserves, 256.83 , 307.53 , 376.03 , 426.20 , 454.35 , 469.91 , 488.60 , 701.62 , 706.85 , 708.30 
Borrowings, 592.08 , 521.58 , 530.35 , 539.06 , 254.99 , 258.54 , 248.74 , 568.16 , 460.66 , 496.97 
Other Liabilities, 464.75 , 450.21 , 542.99 , 695.64 , 351.79 , 312.79 , 298.02 , 762.93 , 733.37 , 791.12 
Total," 1,332.23 "," 1,297.89 "," 1,467.94 "," 1,679.47 "," 1,079.70 "," 1,063.03 "," 1,057.15 "," 2,054.50 "," 1,923.32 "," 2,018.83 "
,,,,,,,,,,
Net Block, 282.91 , 344.34 , 361.13 , 405.19 , 410.80 , 373.83 , 333.63 , 789.01 , 758.91 , 716.17 
Capital Work in Progress, 28.11 , 17.88 , 10.77 , 41.71 , 7.79 , 6.71 , 1.99 , 7.72 , 1.64 , 1.33 
Investments, 10.87 , 5.68 , 36.35 , 35.11 , 37.07 , 37.07 , 199.24 , 112.79 , 127.75 , 160.39 
Other Assets," 1,010.34 ", 929.99 ," 1,059.69 "," 1,197.46 ", 624.04 , 645.42 , 522.29 ," 1,144.98 "," 1,035.02 "," 1,140.94 "
Total," 1,332.23 "," 1,297.89 "," 1,467.94 "," 1,679.47 "," 1,079.70 "," 1,063.03 "," 1,057.15 "," 2,054.50 "," 1,923.32 "," 2,018.83 "
,,,,,,,,,,
Working Capital, 545.59 , 479.78 , 516.70 , 501.82 , 272.25 , 332.63 , 224.27 , 382.05 , 301.65 , 349.82 
Debtors, 471.74 , 517.59 , 547.59 , 728.30 , 141.24 , 168.62 , 226.76 , 659.14 , 586.65 , 623.12 
Inventory, 400.74 , 315.18 , 314.45 , 288.15 , 148.65 , 121.25 , 130.22 , 262.77 , 231.83 , 200.65 
,,,,,,,,,,
Debtor Days, 180.00 , 180.55 , 170.26 , 199.62 , 86.61 , 122.79 , 164.48 , 245.61 , 231.90 , 249.58 
Inventory Turnover, 2.39 , 3.32 , 3.73 , 4.62 , 4.00 , 4.13 , 3.86 , 3.73 , 3.98 , 4.54 
,,,,,,,,,,
Return on Equity,21%,20%,22%,16%,2%,6%,7%,5%,3%,1%
Return on Capital Emp,,17%,20%,18%,5%,10%,10%,12%,10%,6%
,,,,,,,,,,
