ELGI EQUIPMENTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 479.42 , 581.14 , 775.71 , 794.76 , 803.96 , 828.24 , 775.84 , 865.62 , 891.71 ," 1,023.76 "," 1,177.08 "," 1,177.08 "," 1,071.35 "
Expenses, 413.91 , 483.12 , 650.82 , 687.58 , 703.66 , 706.07 , 685.96 , 754.26 , 778.79 , 891.76 ," 1,039.36 "," 1,026.29 ", 946.00 
Operating Profit, 65.51 , 98.02 , 124.89 , 107.18 , 100.30 , 122.17 , 89.88 , 111.36 , 112.92 , 132.00 , 137.72 , 150.79 , 125.35 
Other Income, 7.14 , 1.11 , 10.16 , 11.99 , 12.99 , 5.77 , 12.36 , (40.94), 14.31 , 14.55 , 19.62 , -   , -   
Depreciation, 7.95 , 9.93 , 10.27 , 11.82 , 14.27 , 17.76 , 29.14 , 36.95 , 36.84 , 36.49 , 34.37 , 34.37 , 34.37 
Interest, 1.44 , 0.98 , 1.37 , 1.62 , 1.99 , 1.41 , 4.52 , 4.38 , 2.13 , 2.46 , 2.38 , 2.38 , 2.38 
Profit before tax, 63.26 , 88.22 , 123.41 , 105.73 , 97.07 , 108.86 , 68.67 , 29.09 , 88.27 , 107.60 , 120.59 , 114.04 , 88.60 
Tax, 23.52 , 33.04 , 42.02 , 29.71 , 25.81 , 30.60 , 13.05 , 19.70 , 19.89 , 30.73 , 35.86 ,30%,30%
Net profit, 39.74 , 55.18 , 81.39 , 76.02 , 71.26 , 78.27 , 55.62 , 9.39 , 68.38 , 76.87 , 84.74 , 80.13 , 62.25 
EPS, 2.50 , 3.51 , 5.14 , 4.80 , 4.50 , 4.94 , 3.51 , 0.59 , 4.32 , 4.85 , 5.35 , 5.06 , 3.93 
Price to earning, 7.10 , 14.75 , 18.33 , 16.47 , 16.87 , 20.50 , 41.20 , 233.39 , 49.06 , 56.89 , 49.53 , 97.22 , 47.64 
Price, 17.76 , 51.79 , 94.14 , 79.02 , 75.89 , 101.25 , 144.63 , 138.30 , 211.71 , 276.00 , 264.90 , 491.63 , 187.18 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,20.51%,28.34%,19.47%,20.85%,22.24%,20.25%,28.50%,168.80%,23.18%,24.74%,,,
OPM,13.66%,16.87%,16.10%,13.49%,12.48%,14.75%,11.58%,12.86%,12.66%,12.89%,11.70%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.80%,4.04%,4.95%,9.68%,14.98%,14.98%,4.04%
,,,,,,OPM,13.61%,12.96%,12.96%,12.81%,11.70%,12.81%,11.70%
,,,,,,Price to Earning, 47.64 , 60.49 , 75.09 , 97.22 , 49.53 , 97.22 , 47.64 
